x,y,z,value
-44.4461,-44.4461,-44.4461,0
-41.5786,-44.4461,-44.4461,0
-44.4461,-41.5786,-44.4461,0
-41.5786,-41.5786,-44.4461,0
-44.4461,-44.4461,-41.5786,0
-41.5786,-44.4461,-41.5786,0
-44.4461,-41.5786,-41.5786,0
-41.5786,-41.5786,-41.5786,0
-38.7111,-44.4461,-44.4461,0
-35.8436,-44.4461,-44.4461,0
-38.7111,-41.5786,-44.4461,0
-35.8436,-41.5786,-44.4461,0
-38.7111,-44.4461,-41.5786,0
-35.8436,-44.4461,-41.5786,0
-38.7111,-41.5786,-41.5786,0
-35.8436,-41.5786,-41.5786,0
-44.4461,-38.7111,-44.4461,0
-41.5786,-38.7111,-44.4461,0
-44.4461,-35.8436,-44.4461,0
-41.5786,-35.8436,-44.4461,0
-44.4461,-38.7111,-41.5786,0
-41.5786,-38.7111,-41.5786,0
-44.4461,-35.8436,-41.5786,0
-41.5786,-35.8436,-41.5786,0
-38.7111,-38.7111,-44.4461,0
-35.8436,-38.7111,-44.4461,0
-38.7111,-35.8436,-44.4461,0
-35.8436,-35.8436,-44.4461,0
-38.7111,-38.7111,-41.5786,0
-35.8436,-38.7111,-41.5786,0
-38.7111,-35.8436,-41.5786,0
-35.8436,-35.8436,-41.5786,0
-44.4461,-44.4461,-38.7111,0
-41.5786,-44.4461,-38.7111,0
-44.4461,-41.5786,-38.7111,0
-41.5786,-41.5786,-38.7111,0
-44.4461,-44.4461,-35.8436,0
-41.5786,-44.4461,-35.8436,0
-44.4461,-41.5786,-35.8436,0
-41.5786,-41.5786,-35.8436,0
-38.7111,-44.4461,-38.7111,0
-35.8436,-44.4461,-38.7111,0
-38.7111,-41.5786,-38.7111,0
-35.8436,-41.5786,-38.7111,0
-38.7111,-44.4461,-35.8436,0
-35.8436,-44.4461,-35.8436,0
-38.7111,-41.5786,-35.8436,0
-35.8436,-41.5786,-35.8436,0
-44.4461,-38.7111,-38.7111,0
-41.5786,-38.7111,-38.7111,0
-44.4461,-35.8436,-38.7111,0
-41.5786,-35.8436,-38.7111,0
-44.4461,-38.7111,-35.8436,0
-41.5786,-38.7111,-35.8436,0
-44.4461,-35.8436,-35.8436,0
-41.5786,-35.8436,-35.8436,0
-38.7111,-38.7111,-38.7111,0
-35.8436,-38.7111,-38.7111,0
-38.7111,-35.8436,-38.7111,0
-35.8436,-35.8436,-38.7111,0
-38.7111,-38.7111,-35.8436,0
-35.8436,-38.7111,-35.8436,0
-38.7111,-35.8436,-35.8436,0
-35.8436,-35.8436,-35.8436,0
-32.9761,-44.4461,-44.4461,0
-30.1086,-44.4461,-44.4461,0
-32.9761,-41.5786,-44.4461,0
-30.1086,-41.5786,-44.4461,0
-32.9761,-44.4461,-41.5786,0
-30.1086,-44.4461,-41.5786,0
-32.9761,-41.5786,-41.5786,0
-30.1086,-41.5786,-41.5786,0
-27.2412,-44.4461,-44.4461,0
-24.3737,-44.4461,-44.4461,0
-27.2412,-41.5786,-44.4461,0
-24.3737,-41.5786,-44.4461,0
-27.2412,-44.4461,-41.5786,0
-24.3737,-44.4461,-41.5786,0
-27.2412,-41.5786,-41.5786,0
-24.3737,-41.5786,-41.5786,0
-32.9761,-38.7111,-44.4461,0
-30.1086,-38.7111,-44.4461,0
-32.9761,-35.8436,-44.4461,0
-30.1086,-35.8436,-44.4461,0
-32.9761,-38.7111,-41.5786,0
-30.1086,-38.7111,-41.5786,0
-32.9761,-35.8436,-41.5786,0
-30.1086,-35.8436,-41.5786,0
-27.2412,-38.7111,-44.4461,0
-24.3737,-38.7111,-44.4461,0
-27.2412,-35.8436,-44.4461,0
-24.3737,-35.8436,-44.4461,0
-27.2412,-38.7111,-41.5786,0
-24.3737,-38.7111,-41.5786,0
-27.2412,-35.8436,-41.5786,0
-24.3737,-35.8436,-41.5786,0
-32.9761,-44.4461,-38.7111,0
-30.1086,-44.4461,-38.7111,0
-32.9761,-41.5786,-38.7111,0
-30.1086,-41.5786,-38.7111,0
-32.9761,-44.4461,-35.8436,0
-30.1086,-44.4461,-35.8436,0
-32.9761,-41.5786,-35.8436,0
-30.1086,-41.5786,-35.8436,0
-27.2412,-44.4461,-38.7111,0
-24.3737,-44.4461,-38.7111,0
-27.2412,-41.5786,-38.7111,0
-24.3737,-41.5786,-38.7111,0
-27.2412,-44.4461,-35.8436,0
-24.3737,-44.4461,-35.8436,0
-27.2412,-41.5786,-35.8436,0
-24.3737,-41.5786,-35.8436,0
-32.9761,-38.7111,-38.7111,0
-30.1086,-38.7111,-38.7111,0
-32.9761,-35.8436,-38.7111,0
-30.1086,-35.8436,-38.7111,0
-32.9761,-38.7111,-35.8436,0
-30.1086,-38.7111,-35.8436,0
-32.9761,-35.8436,-35.8436,0
-30.1086,-35.8436,-35.8436,0
-27.2412,-38.7111,-38.7111,0
-24.3737,-38.7111,-38.7111,0
-27.2412,-35.8436,-38.7111,0
-24.3737,-35.8436,-38.7111,0
-27.2412,-38.7111,-35.8436,0
-24.3737,-38.7111,-35.8436,0
-27.2412,-35.8436,-35.8436,0
-24.3737,-35.8436,-35.8436,0
-44.4461,-32.9761,-44.4461,0
-41.5786,-32.9761,-44.4461,0
-44.4461,-30.1086,-44.4461,0
-41.5786,-30.1086,-44.4461,0
