Timestep,CoverageScore
0,0.4179
1,0.3884
2,0.4440
3,0.3640
4,0.4040
5,0.4440
6,0.4518
7,0.4414
8,0.4405
9,0.4327
10,0.4379
11,0.4405
12,0.4248
13,0.3640
14,0.3275
15,0.2841
16,0.2520
17,0.2572
18,0.2433
19,0.2467
20,0.2659
21,0.2624
22,0.2546
23,0.2554
24,0.5091
25,0.5378
26,0.5074
27,0.5065
28,0.5013
29,0.4944
30,0.5022
31,0.5048
32,0.5100
33,0.5352
34,0.5682
35,0.5856
36,0.5891
37,0.5917
38,0.5769
39,0.5743
40,0.5691
41,0.5639
42,0.5639
43,0.5717
44,0.5760
45,0.5786
46,0.5838
47,0.5856
48,0.5891
49,0.5908
50,0.5812
51,0.5882
52,0.5891
53,0.5969
54,0.6021
55,0.6038
56,0.5969
57,0.5960
58,0.5891
59,0.5873
60,0.5769
61,0.5821
62,0.5856
63,0.5891
64,0.5847
65,0.5795
66,0.5891
67,0.7507
68,0.8080
69,0.8480
70,0.8688
71,0.8784
72,0.8471
73,0.8341
74,0.8480
75,0.8671
76,0.8862
77,0.8801
78,0.8879
79,0.8810
80,0.8688
81,0.8566
82,0.8566
83,0.8679
84,0.8732
85,0.8905
86,0.8914
87,0.8723
88,0.8714
89,0.8688
90,0.8714
91,0.8888
92,0.8940
93,0.8940
94,0.8879
95,0.8749
96,0.8784
97,0.8983
98,0.8949
99,0.8914
100,0.8853
101,0.8853
102,0.8827
103,0.8940
104,0.8966
105,0.8949
106,0.8975
107,0.8966
108,0.9010
109,0.8975
110,0.8983
111,0.8992
112,0.9401
113,0.9705
114,0.9713
115,0.9757
116,0.9748
117,0.9818
118,0.9800
119,0.9774
120,0.9791
121,0.9818
122,0.9826
123,0.9852
124,0.9844
125,0.9818
126,0.9800
127,0.9809
128,0.9844
129,0.9861
130,0.9861
131,0.9861
132,0.9809
133,0.9809
134,0.9835
135,0.9826
136,0.9835
137,0.9826
138,0.9826
139,0.9852
140,0.9852
141,0.9835
142,0.9818
143,0.9809
144,0.9826
145,0.9809
146,0.9809
147,0.9809
148,0.9783
149,0.9722
150,0.9739
151,0.9731
152,0.9765
153,0.9748
154,0.9765
155,0.9783
156,0.9765
157,0.9835
158,0.9904
159,0.9896
160,0.9861
161,0.9922
162,0.9930
163,0.9904
164,0.9922
165,0.9930
166,0.9913
167,0.9878
168,0.9922
169,0.9922
170,0.9930
171,0.9948
172,0.9957
