Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,30.9805,35.3363,-397.23,-0.0207242,-0.0550745,0.934309,0.351575
0,0,143.076,-64.0868,-367.997,-0.167863,-0.108744,0.532712,0.822323
1,0,262.111,-35.5366,-300.058,-0.266187,-0.232534,0.61543,0.704499
2,0,340.597,-17.6134,-209.006,-0.35431,-0.336461,0.600809,0.632682
3,0,379.593,-47.2706,-116.94,-0.445842,-0.393765,0.532129,0.602506
4,0,387.193,-92.3791,-39.3376,-0.526998,-0.416055,0.459197,0.581644
5,0,377.647,-131.116,13.8359,-0.586072,-0.416911,0.402731,0.566138
6,0,364.601,-156.885,49.5266,-0.626101,-0.412196,0.36396,0.552833
7,0,351.656,-174.462,76.8198,-0.656092,-0.4069,0.334991,0.540145
8,0,338.697,-188.138,99.4413,-0.680976,-0.400717,0.310856,0.528268
9,0,325.137,-199.076,121.056,-0.704068,-0.394471,0.288624,0.515147
10,0,311.398,-207.655,141.106,-0.725135,-0.388022,0.268397,0.501579
11,0,299.627,-212.532,158.284,0.74216,0.383476,-0.252327,-0.48834
12,0,291.115,-211.19,175.074,0.755299,0.385183,-0.240894,-0.472364
13,0,284.312,-204.401,193.357,0.766371,0.392902,-0.231865,-0.452263
14,0,277.59,-192.254,214.435,0.776318,0.406663,-0.223483,-0.426628
15,0,269.566,-175.988,237.407,0.784959,0.424969,-0.214634,-0.39645
16,0,258.776,-154.083,263.236,0.791577,0.449945,-0.20432,-0.359456
17,0,242.53,-127.987,291.201,0.796004,0.479978,-0.190428,-0.315809
18,0,219.01,-98.7388,319.821,0.796739,0.514765,-0.171801,-0.26591
19,0,188.52,-63.6963,346.991,0.785057,0.563405,-0.150085,-0.20913
20,0,151.983,-23.5093,369.254,0.744499,0.638192,-0.127589,-0.148842
21,0,108.692,2.8801,384.939,0.69108,0.709635,-0.0982986,-0.0957284
22,0,67.2661,11.4392,394.138,0.642747,0.76128,-0.0654088,-0.0552245
23,0,32.2056,-0.892812,398.7,0.716255,0.696674,-0.0281024,-0.0288923
24,0,6.65655,-18.1708,399.532,0.984338,0.174623,-0.00422654,-0.0238247
25,0,6.90509,-19.4073,399.469,0.985102,0.170029,-0.00438095,-0.0253821
26,0,13.2711,-9.50631,399.667,0.889289,0.456889,-0.00932706,-0.0181542
27,0,13.5387,-13.2647,399.551,0.921652,0.387292,-0.009181,-0.0218483
28,0,13.526,-13.5613,399.541,0.923863,0.381973,-0.00915046,-0.0221319
29,0,18.4837,-16.1303,399.247,0.909932,0.41362,-0.0126958,-0.0279297
30,0,17.9354,-14.9597,399.318,0.905297,0.423773,-0.0123823,-0.026452
30,1,-25.5413,17.6825,-398.792,0.0180354,-0.0344218,0.88511,-0.463756
31,0,11.4347,-16.2356,399.507,0.95301,0.301918,-0.00749905,-0.0236709
31,1,-4.96607,10.1278,-399.841,0.00318653,-0.0137364,0.974036,-0.225953
32,0,13.0836,-17.3546,399.409,0.947939,0.317291,-0.00862633,-0.0257721
32,1,-0.92648,33.5349,-398.591,0.000579616,-0.0419677,0.999024,-0.0137975
33,0,13.1487,-8.76268,399.688,0.881464,0.471838,-0.00932307,-0.0174169
33,1,2.85361,10.6177,-399.849,-0.00179916,-0.0136261,0.991302,0.130889
34,0,12.2646,-2.25348,399.806,0.768254,0.639956,-0.00997763,-0.0119779
34,1,-3.90475,-3.55822,-399.965,-0.00444776,0.00488114,2.17106e-05,0.999978
35,0,13.1841,-1.68479,399.779,0.750482,0.660682,-0.0109797,-0.012472
35,1,-9.46405,-4.99921,-399.857,-0.0114598,0.00690693,-0.516155,0.856391
36,0,15.1969,-3.43985,399.696,0.781122,0.624074,-0.0121595,-0.0152195
36,1,-11.5678,2.36668,-399.826,-0.00933301,0.0114358,-0.774654,0.632213
37,0,16.3811,-8.05599,399.583,0.848692,0.528394,-0.0120635,-0.019376
37,1,-13.8993,8.30925,-399.672,0.0099894,-0.0176102,0.869626,-0.493296
38,0,13.2238,-15.3519,399.486,0.937161,0.347976,-0.00881904,-0.0237512
38,1,-14.7216,16.8419,-399.374,0.00983199,-0.0261874,0.935825,-0.351353
39,0,8.503,-19.0793,399.454,0.977776,0.20802,-0.00543517,-0.0255475
39,1,-8.1939,29.431,-398.832,0.00517253,-0.0378642,0.990074,-0.135252
40,0,8.03314,-21.2287,399.355,0.98329,0.179821,-0.00510604,-0.0279207
40,1,-14.1526,30.6269,-398.575,0.00906478,-0.0412263,0.975799,-0.214557
41,0,10.8768,-21.7159,399.262,0.97272,0.229984,-0.00698863,-0.0295585
41,1,-17.6958,35.7842,-398.003,0.0113722,-0.0486516,0.972536,-0.227328
42,0,14.8259,-21.0604,399.17,0.952843,0.301751,-0.00972479,-0.0307081
42,1,-16.9772,38.7531,-397.756,0.0108562,-0.0518356,0.977391,-0.2047
43,0,17.1982,-19.3154,399.163,0.934084,0.355585,-0.0115074,-0.0302287
43,1,-12.8755,35.9222,-398.176,0.00817716,-0.0470491,0.984106,-0.171038
44,0,16.1883,-16.5509,399.329,0.925596,0.377403,-0.010931,-0.0268087
44,1,-10.9223,29.0164,-398.797,0.00694376,-0.0381576,0.983102,-0.178901
45,0,7.90093,-7.32205,399.855,0.916357,0.400135,-0.00538882,-0.0123411
45,1,-15.3923,24.8141,-398.933,0.0100098,-0.0351264,0.961072,-0.273873
46,0,2.32212,-1.66084,399.99,6.02614e-06,0.999994,0.00207605,-0.00290268
46,1,-14.2216,24.747,-398.98,0.00920544,-0.0344935,0.965569,-0.257686
47,0,1.51068,-1.97048,399.992,4.65128e-06,0.999995,0.00246311,-0.00188837
47,1,-10.8168,27.0179,-398.94,0.00688949,-0.0357447,0.981277,-0.189133
48,0,3.4888,-5.75643,399.943,0.963084,0.269069,-0.00226408,-0.00810389
48,1,-14.304,29.7331,-398.637,0.00917728,-0.0402456,0.974142,-0.222135
49,0,7.95076,-11.5454,399.754,0.954735,0.296941,-0.00520482,-0.0167347
49,1,-10.5862,30.8682,-398.667,0.00671326,-0.0402696,0.985565,-0.164301
50,0,15.289,-17.0689,399.343,0.93366,0.357012,-0.0102346,-0.0267656
50,1,-12.3637,29.364,-398.729,0.00788959,-0.039069,0.979434,-0.197787
51,0,19.3619,-18.1479,399.119,0.917063,0.397358,-0.0131956,-0.030454
51,1,-12.9244,28.2783,-398.79,0.00827319,-0.0380041,0.976376,-0.212549
52,0,19.0233,-18.1219,399.136,0.918673,0.393651,-0.0129421,-0.0302034
52,1,-8.74547,19.7411,-399.417,0.00558897,-0.0264145,0.977983,-0.206929
53,0,17.1825,-18.114,399.22,0.928394,0.370282,-0.0115674,-0.0290024
53,1,-7.5679,15.3093,-399.635,0.00485846,-0.0207919,0.973546,-0.227489
54,0,14.0522,-15.8161,399.44,0.934436,0.355148,-0.00939887,-0.0247295
54,1,-7.94443,13.2165,-399.703,0.00515375,-0.0185774,0.963428,-0.267274
55,0,14.4693,-11.826,399.563,0.903312,0.428348,-0.0100113,-0.0211121
55,1,-8.96671,12.5094,-399.704,0.00588759,-0.0183196,0.951865,-0.305912
56,0,11.253,-15.2169,399.552,0.949479,0.312936,-0.00740735,-0.0224746
56,1,-10.0861,12.5211,-399.677,0.00668572,-0.0189574,0.94288,-0.332527
57,0,14.5178,-13.5786,399.506,0.917074,0.397942,-0.00989411,-0.0228014
57,1,-10.6468,13.4917,-399.631,0.00704521,-0.0203005,0.944507,-0.327788
58,0,16.4869,-14.2819,399.405,0.909264,0.415324,-0.0113326,-0.0248103
58,1,-11.1864,14.7049,-399.573,0.00738009,-0.0218909,0.947345,-0.31938
59,0,11.1407,-12.8382,399.639,0.936611,0.349726,-0.00743421,-0.0199098
59,1,-11.6321,15.7621,-399.52,0.00765579,-0.023267,0.949615,-0.312461
60,0,13.1433,-14.0971,399.535,0.930165,0.36635,-0.00883127,-0.0224226
60,1,-10.8976,16.1889,-399.524,0.00712329,-0.0233382,0.956157,-0.291838
61,0,13.5187,-14.1774,399.52,0.928085,0.371561,-0.00910389,-0.0227397
61,1,-10.2026,16.3221,-399.537,0.00663565,-0.0231347,0.960963,-0.275629
62,0,13.3678,-12.6173,399.577,0.918016,0.395878,-0.00910103,-0.0211047
62,1,-10.0464,16.2854,-399.542,0.00652852,-0.0230175,0.961776,-0.272792
63,0,11.4706,-6.1627,399.788,0.858164,0.513118,-0.00835402,-0.0139717
63,1,-9.81408,15.9619,-399.561,0.00637616,-0.0225441,0.961989,-0.27208
64,0,11.7551,-5.05851,399.795,0.835142,0.549802,-0.00879723,-0.0133629
64,1,-9.01812,15.0992,-399.613,0.00584832,-0.0211974,0.963751,-0.265896
65,0,13.0767,-6.86804,399.727,0.85571,0.517125,-0.00955107,-0.0158046
65,1,-8.85092,14.032,-399.656,0.0057595,-0.0199265,0.96047,-0.277611
66,0,14.4932,-10.7926,399.592,0.893433,0.448628,-0.0101387,-0.020191
66,1,-8.97552,13.2662,-399.679,0.00586846,-0.0191464,0.955906,-0.292989
67,0,12.2738,-15.4119,399.514,0.943707,0.329864,-0.00812869,-0.0232553
67,1,-9.51432,13.0144,-399.675,0.00625675,-0.01916,0.950406,-0.310358
68,0,12.8608,-13.9709,399.549,0.931331,0.3634,-0.00863066,-0.0221189
68,1,-10.1094,13.7962,-399.634,0.00664948,-0.0203244,0.950209,-0.310878
69,0,17.3469,-13.2983,399.402,0.896438,0.442326,-0.0120943,-0.024511
69,1,-10.7587,14.963,-399.575,0.00706646,-0.0219325,0.951564,-0.306586
70,0,15.3328,-13.716,399.471,0.912583,0.408081,-0.010501,-0.0234831
70,1,-11.3521,15.9751,-399.52,0.00744985,-0.0233448,0.95238,-0.303926
70,2,-319.428,-239.463,-24.9725,-0.612362,0.306264,-0.32602,0.651864
71,0,13.1281,-10.2534,399.653,0.898564,0.438349,-0.00913132,-0.0187181
71,1,-3.44166,22.9128,-399.328,0.00215793,-0.028894,0.996804,-0.0744459
71,2,-282.834,-273.834,70.8509,-0.706385,0.299306,-0.250248,0.590603
72,0,20.827,-2.78588,399.448,0.752263,0.658339,-0.0173036,-0.0197723
72,1,7.82118,30.9233,-398.726,-0.0049299,-0.0395973,0.991548,0.123449
72,2,-177.491,-326.874,147.14,-0.801549,0.20358,-0.138397,0.544905
73,0,30.3215,6.68142,398.793,0.62595,0.778896,-0.0302755,-0.0243306
73,1,18.5953,38.5557,-397.703,-0.0119389,-0.0522371,0.973462,0.222486
73,2,-75.1342,-349.428,179.597,-0.846405,0.0899691,-0.0554803,0.521944
74,0,37.9116,17.1574,397.83,0.541341,0.839188,-0.0437705,-0.0282353
74,1,27.6792,45.7468,-396.41,-0.0180005,-0.0645225,0.961055,0.268116
74,2,-6.07795,-352.774,188.45,-0.857618,0.0073874,-0.00442938,0.514215
75,0,42.5667,27.5185,396.776,0.4771,0.876553,-0.0557623,-0.030351
75,1,34.031,51.9869,-395.145,-0.0222626,-0.0746567,0.955387,0.284896
75,2,4.58709,-349.74,194.063,-0.861712,-0.00565074,0.00332702,0.507356
76,0,45.3156,37.1199,395.688,0.426816,0.901353,-0.0663572,-0.0314219
76,1,37.7457,57.2432,-394.079,-0.0247216,-0.0823999,0.95427,0.286299
76,2,-24.6079,-343.387,203.666,0.868111,-0.0310655,0.0177165,-0.49508
77,0,47.4085,46.0073,394.507,0.388262,0.917816,-0.0763154,-0.0322835
77,1,39.8455,61.5488,-393.223,-0.0260782,-0.0882699,0.954951,0.282128
77,2,-70.6406,-325.959,220.819,0.875911,-0.0938232,0.0504051,-0.47057
78,0,50.4674,54.3224,393.068,0.364046,0.926717,-0.0866433,-0.0340364
78,1,41.8766,65.0087,-392.454,-0.0274116,-0.0931718,0.954808,0.28091
78,2,-110.495,-321.559,210.691,0.86177,-0.143932,0.0801367,-0.479807
79,0,55.1065,62.0266,391.3,0.353325,0.92967,-0.0974785,-0.0370471
79,1,44.9153,68.0039,-391.61,-0.0294665,-0.0980802,0.952677,0.286216
79,2,-128.533,-335.345,176.133,-0.834455,0.154439,-0.09627,0.520159
80,0,60.9722,68.949,389.267,0.351798,0.928882,-0.108323,-0.0410252
80,1,48.9043,70.753,-390.644,-0.0322069,-0.103239,0.949027,0.296062
80,2,-124.506,-353.972,138.573,-0.808793,0.138095,-0.0962125,0.563495
81,0,67.4867,74.9678,387.073,0.355411,0.926026,-0.118677,-0.0455486
81,1,53.1564,73.2991,-389.617,-0.0351564,-0.108362,0.945,0.306589
81,2,-110.647,-370.097,103.852,-0.785251,0.114871,-0.0880667,0.602021
82,0,74.0357,80.2128,384.818,0.360647,0.922473,-0.128304,-0.0501612
82,1,57.2371,75.7836,-388.562,-0.0380021,-0.11337,0.941348,0.315543
82,2,-96.7402,-379.999,79.005,-0.76779,0.0961979,-0.0787489,0.628524
83,0,80.2686,84.9008,382.556,0.365642,0.918967,-0.137205,-0.0545916
83,1,61.244,78.4394,-387.423,-0.0408029,-0.118561,0.938107,0.322852
83,2,-91.1918,-383.395,68.5024,-0.760053,0.0891472,-0.074988,0.639335
84,0,85.7394,89.0504,380.419,0.369313,0.916042,-0.1451,-0.0584986
84,1,64.8062,81.1329,-386.287,-0.0432905,-0.123561,0.935629,0.327806
84,2,-97.819,-381.557,69.6095,-0.760143,0.0958877,-0.0804282,0.637589
85,0,90.6487,92.8581,378.365,0.371981,0.913557,-0.152307,-0.0620163
85,1,67.8347,83.8487,-385.185,-0.045395,-0.128287,0.93395,0.330484
85,2,-109.667,-376.766,77.5916,-0.764915,0.10906,-0.089607,0.628475
86,0,95.3258,96.5928,376.275,0.37396,0.911316,-0.159318,-0.0653764
86,1,70.4517,86.3451,-384.163,-0.047212,-0.132542,0.932651,0.332213
86,2,-122.864,-371.222,84.2547,-0.768108,0.123809,-0.0999728,0.620231
87,0,100.088,100.326,374.055,0.375886,0.908998,-0.16642,-0.0688174
87,1,73.0025,88.6511,-383.16,-0.0489922,-0.136564,0.931303,0.334104
87,2,-135.513,-365.895,88.0763,-0.768835,0.137799,-0.110161,0.614629
88,0,105.049,104.041,371.672,0.378033,0.906466,-0.173677,-0.0724303
88,1,75.5739,90.9202,-382.128,-0.0507932,-0.140569,0.92992,0.336018
88,2,-146.252,-360.921,91.3564,-0.769231,0.149933,-0.11883,0.609659
89,0,109.875,107.378,369.32,0.380474,0.90382,-0.18049,-0.0759796
89,1,78.7577,93.181,-380.939,-0.0530527,-0.144954,0.927825,0.339581
89,2,-153.322,-354.632,103.578,-0.776936,0.16076,-0.123339,0.596083
90,0,114.533,110.375,367.014,0.383056,0.90113,-0.186874,-0.0794372
90,1,82.4705,95.1966,-379.653,-0.0557248,-0.149428,0.924976,0.344942
90,2,-158.105,-345.944,123.795,-0.790646,0.172111,-0.124981,0.57414
91,0,119.207,113.261,364.639,0.385647,0.898374,-0.193192,-0.0829323
91,1,86.0605,96.9056,-378.422,-0.0583313,-0.153527,0.922108,0.350348
91,2,-163.606,-335.303,144.24,-0.803648,0.185606,-0.127237,0.550918
92,0,123.975,116.069,362.158,0.388317,0.895493,-0.19954,-0.0865273
92,1,89.4311,98.2754,-377.285,-0.0608014,-0.157152,0.919296,0.35567
92,2,-169.29,-325.202,159.952,-0.812648,0.198855,-0.1302,0.532079
93,0,128.684,118.651,359.67,0.391084,0.892547,-0.205653,-0.09011
93,1,92.4292,99.2428,-376.308,-0.0630211,-0.160135,0.91665,0.360746
93,2,-176.117,-316.518,169.702,-0.816826,0.211949,-0.134757,0.519339
94,0,133.07,121.084,357.255,0.393394,0.889837,-0.211413,-0.0934652
94,1,94.6719,99.847,-375.59,-0.0646945,-0.162257,0.914606,0.364669
94,2,-189.025,-305.992,175.038,-0.815574,0.231596,-0.144856,0.510117
95,0,137.207,123.43,354.879,0.395299,0.88732,-0.216936,-0.0966444
95,1,96.375,100.073,-375.096,-0.0659821,-0.163634,0.91289,0.368105
95,2,-205,-294.793,176.273,-0.809859,0.25391,-0.158206,0.504608
96,0,141.242,125.546,352.546,0.397326,0.884768,-0.222177,-0.0997736
96,1,97.9154,99.8695,-374.751,-0.0671734,-0.164464,0.911033,0.372101
96,2,-221.735,-283.586,174.392,-0.801126,0.27602,-0.172987,0.502081
97,0,145.384,127.357,350.205,0.399898,0.881951,-0.227221,-0.103027
97,1,99.4189,99.2272,-374.526,-0.0683672,-0.164828,0.90887,0.37698
97,2,-233.705,-278.15,167.375,-0.791269,0.28829,-0.184597,0.506661
98,0,149.617,128.835,347.874,0.403014,0.878876,-0.232027,-0.106398
98,1,100.801,98.119,-374.449,-0.0695026,-0.164646,0.906447,0.382641
98,2,-238.101,-281.098,155.858,-0.782627,0.286911,-0.190146,0.518674
99,0,153.643,129.929,345.705,0.406347,0.875793,-0.236318,-0.109646
99,1,102.005,96.6954,-374.493,-0.0705295,-0.164041,0.903921,0.388642
99,2,-238.796,-286.811,143.931,-0.77538,0.280534,-0.192483,0.532012
100,0,157.242,130.677,343.8,0.409573,0.872926,-0.239949,-0.112583
100,1,102.937,95.2884,-374.598,-0.0713523,-0.163281,0.901664,0.394019
100,2,-241.966,-287.619,136.848,-0.769601,0.280667,-0.196503,0.538819
101,0,160.47,131.142,342.127,0.412697,0.870253,-0.24302,-0.115247
101,1,103.561,93.9402,-374.767,-0.0719364,-0.162377,0.899759,0.398613
101,2,-247.813,-284.535,132.772,-0.764253,0.286153,-0.20266,0.541261
102,0,163.493,131.371,340.605,0.415868,0.867646,-0.245711,-0.117771
102,1,104.076,92.614,-374.954,-0.0724393,-0.161429,0.897957,0.402946
102,2,-253.998,-280.736,129.121,-0.758899,0.292359,-0.209183,0.542992
103,0,165.886,131.04,339.573,0.419176,0.865308,-0.24734,-0.119817
103,1,104.561,91.2186,-375.161,-0.0729294,-0.160404,0.896084,0.407413
103,2,-259.458,-275.911,128.665,-0.755725,0.299517,-0.214577,0.541411
104,0,167.81,130.314,338.907,0.422571,0.863173,-0.248198,-0.121507
104,1,104.819,89.53,-375.496,-0.0732683,-0.158939,0.894134,0.412182
104,2,-263.637,-272.101,128.283,-0.753197,0.305037,-0.218765,0.540175
105,0,169.643,129.535,338.293,0.425909,0.861085,-0.248943,-0.123132
105,1,104.862,87.6602,-375.925,-0.0734586,-0.157154,0.892182,0.417034
105,2,-269.217,-268.045,125.197,-0.748229,0.310884,-0.224879,0.541233
106,0,171.618,128.838,337.562,0.429207,0.858914,-0.249905,-0.12488
106,1,104.913,85.8376,-376.331,-0.0736581,-0.155436,0.890201,0.421848
106,2,-275.96,-261.788,123.747,-0.74339,0.31946,-0.232011,0.539895
107,0,173.579,128.084,336.845,0.432538,0.856719,-0.250815,-0.126631
107,1,105.051,84.1599,-376.672,-0.0739201,-0.153936,0.888212,0.426519
107,2,-282.811,-253.635,125.25,-0.739907,0.330303,-0.23889,0.535135
108,0,175.388,127.205,336.241,0.435877,0.854583,-0.251487,-0.12827
108,1,105.344,82.4624,-376.965,-0.0743148,-0.152549,0.885961,0.4316
108,2,-291.085,-242.405,128.489,-0.735986,0.344869,-0.24719,0.527529
109,0,177.314,126.406,335.531,0.439151,0.852385,-0.252354,-0.130013
109,1,105.816,80.6746,-377.22,-0.0748695,-0.151228,0.883333,0.437317
109,2,-300.945,-227.661,132.674,-0.730599,0.363411,-0.257447,0.51757
110,0,180.058,125.814,334.29,0.442797,0.849584,-0.254149,-0.132461
110,1,106.892,78.6262,-377.349,-0.0759512,-0.150152,0.879614,0.444933
110,2,-304.751,-221.399,134.572,-0.728341,0.371124,-0.261511,0.513223
111,0,183.593,125.306,332.554,0.446927,0.846137,-0.256744,-0.135611
111,1,108.58,76.4661,-377.311,-0.0775614,-0.149486,0.874955,0.453974
111,2,-301.908,-225.286,134.528,-0.730669,0.366446,-0.258246,0.514926
112,0,187.505,124.643,330.615,0.451492,0.842273,-0.259563,-0.139136
112,1,110.895,74.2786,-377.074,-0.0797156,-0.14934,0.869455,0.464103
112,2,-294.361,-235.262,134.178,-0.73641,0.35415,-0.249828,0.519484
113,0,191.34,124.015,328.648,0.455758,0.838507,-0.262393,-0.14262
113,1,112.803,72.0266,-376.945,-0.081576,-0.148875,0.864245,0.473563
113,2,-291.444,-240.82,130.639,-0.736819,0.346981,-0.247214,0.524963
114,0,194.595,123.429,326.953,0.459332,0.835288,-0.264779,-0.145604
114,1,113.819,69.9015,-377.04,-0.0827055,-0.147851,0.86012,0.481138
114,2,-297.758,-234.268,128.293,-0.730991,0.354992,-0.254584,0.524233
114,3,-269.654,269.256,-121.606,0.225949,-0.544921,0.745891,-0.309281
115,0,205.527,120.722,321.224,0.471663,0.824053,-0.272343,-0.155881
115,1,123.536,63.1106,-375.174,-0.0919629,-0.150249,0.83958,0.513881
115,2,-244.968,-285.871,135.161,-0.767109,0.283716,-0.199587,0.539642
115,3,-171.239,360.646,-24.7225,0.150568,-0.668151,0.710806,-0.16018
116,0,215.965,117.354,315.574,0.483425,0.812876,-0.279212,-0.16605
116,1,135.265,56.4467,-372.179,-0.103401,-0.155193,0.817602,0.544748
116,2,-164.619,-341.544,127.469,-0.791607,0.180818,-0.129972,0.569009
116,3,-87.5156,390.28,4.73735,-0.0782915,0.70696,-0.698636,0.0773697
117,0,224.485,113.544,310.989,0.493764,0.803077,-0.28415,-0.174707
117,1,144.853,50.1798,-369.458,-0.113315,-0.159175,0.798955,0.568765
117,2,-102.933,-369.655,112.961,-0.793379,0.108398,-0.0810871,0.593485
117,3,-116.232,382.426,-15.496,0.101909,-0.685744,0.712845,-0.105936
118,0,230.389,109.803,308,0.502118,0.795536,-0.286772,-0.181001
118,1,152.396,44.8409,-367.103,-0.121478,-0.162371,0.784075,0.586606
118,2,-68.7628,-380.004,104.251,-0.790745,0.0709675,-0.0543497,0.605584
118,3,-186.337,353.924,-4.04345,0.168806,-0.682972,0.689911,-0.170521
119,0,234.411,106.402,306.154,0.508849,0.789788,-0.287919,-0.185502
119,1,158.978,40.4549,-364.814,-0.128717,-0.165573,0.771939,0.600106
119,2,-57.868,-382.413,102.036,-0.789945,0.0594302,-0.0457848,0.608571
119,3,-255.971,305.603,32.9451,-0.251302,0.691396,-0.636614,0.23139
120,0,238.006,103.775,304.276,0.514047,0.78492,-0.289378,-0.189515
