iteration,coverage,redundancy,affinity,time
0,0.496491,0.000000,1.000000,0.094229
1,0.520175,0.000000,1.000000,0.274772
2,0.435965,0.000000,1.000000,0.386394
3,0.454386,0.000000,1.000000,0.495166
4,0.430702,0.000000,1.000000,0.604137
5,0.378070,0.000000,1.000000,0.713588
6,0.363158,0.000000,1.000000,0.821969
7,0.385088,0.000000,1.000000,0.929787
8,0.437719,0.000000,1.000000,1.038005
9,0.429825,0.000000,1.000000,1.146305
10,0.414912,0.000000,1.000000,1.254814
11,0.335088,0.000000,1.000000,1.362147
12,0.262281,0.000000,1.000000,1.469974
13,0.336842,0.000000,1.000000,1.578555
14,0.372807,0.000000,1.000000,1.688618
15,0.364035,0.000000,1.000000,1.798127
16,0.342105,0.000000,1.000000,1.907999
17,0.290351,0.000000,1.000000,2.016658
18,0.262281,0.000000,1.000000,2.125897
19,0.287719,0.000000,1.000000,2.235877
20,0.331579,0.000000,1.000000,2.346342
21,0.337719,0.000000,1.000000,2.456631
22,0.334211,0.000000,1.000000,2.567827
23,0.318421,0.000000,1.000000,2.678605
24,0.271053,0.000000,1.000000,2.790137
25,0.300000,0.000000,1.000000,2.901390
26,0.325439,0.000000,1.000000,3.012802
27,0.335965,0.000000,1.000000,3.124770
28,0.332456,0.000000,1.000000,3.237660
29,0.309649,0.000000,1.000000,3.350577
30,0.299123,0.000000,1.000000,3.463756
31,0.560526,0.005263,1.009390,3.584358
32,0.667544,0.022807,1.034166,3.717148
33,0.579825,0.009649,1.016641,3.849886
34,0.510526,0.002632,1.005155,3.982668
35,0.501754,0.002632,1.005245,4.117309
36,0.500000,0.002632,1.005263,4.250492
37,0.500000,0.002632,1.005263,4.383679
38,0.502632,0.003509,1.006981,4.517550
39,0.511404,0.002632,1.005146,4.652644
40,0.521930,0.003509,1.006723,4.788420
41,0.520175,0.001754,1.003373,4.924275
42,0.507018,0.001754,1.003460,5.061103
43,0.506140,0.001754,1.003466,5.197511
44,0.501754,0.002632,1.005245,5.335359
45,0.506140,0.002632,1.005199,5.473220
46,0.507018,0.003509,1.006920,5.612285
47,0.501754,0.002632,1.005245,5.752099
48,0.508772,0.001754,1.003448,5.892001
49,0.506140,0.002632,1.005199,6.032884
50,0.506140,0.002632,1.005199,6.173815
51,0.503509,0.002632,1.005226,6.315418
52,0.507018,0.002632,1.005190,6.457223
53,0.505263,0.002632,1.005208,6.600328
54,0.502632,0.002632,1.005236,6.744194
55,0.500000,0.002632,1.005263,6.888266
56,0.502632,0.002632,1.005236,7.032712
57,0.504386,0.002632,1.005217,7.177722
58,0.505263,0.002632,1.005208,7.325007
59,0.506140,0.002632,1.005199,7.472170
60,0.499123,0.002632,1.005272,7.618620
61,0.500877,0.002632,1.005254,7.765285
62,0.506140,0.002632,1.005199,7.912882
63,0.514912,0.003509,1.006814,8.061955
64,0.511404,0.003509,1.006861,8.211094
65,0.504386,0.002632,1.005217,8.361289
66,0.515789,0.003509,1.006803,8.512201
67,0.511404,0.004386,1.008576,8.663659
68,0.507895,0.002632,1.005181,8.814105
69,0.501754,0.002632,1.005245,8.965834
70,0.507018,0.002632,1.005190,9.118059
71,0.501754,0.002632,1.005245,9.270703
72,0.502632,0.003509,1.006981,9.423646
73,0.682456,0.161404,1.237789,9.585539
74,0.850877,0.241228,1.289691,9.758921
75,0.874561,0.281579,1.357071,9.935135
76,0.876316,0.300877,1.389389,10.113186
77,0.902632,0.294737,1.355685,10.294870
78,0.910526,0.275439,1.324663,10.499684
79,0.906140,0.279825,1.326234,10.702595
80,0.905263,0.276316,1.332364,10.909932
81,0.907895,0.297368,1.365217,11.118211
82,0.906140,0.298246,1.372701,11.327177
83,0.912281,0.285965,1.359615,11.533167
84,0.908772,0.281579,1.347490,11.739605
85,0.899123,0.279825,1.346341,11.946589
86,0.902632,0.278947,1.336249,12.135835
87,0.907895,0.270175,1.318841,12.347366
88,0.907018,0.275439,1.324952,12.560368
89,0.905263,0.280702,1.334302,12.773252
90,0.911404,0.296491,1.352262,12.986730
91,0.908772,0.298246,1.355212,13.200379
92,0.912281,0.294737,1.349038,13.416212
93,0.913158,0.289474,1.342939,13.633387
94,0.912281,0.275439,1.325000,13.851215
95,0.911404,0.267544,1.316651,14.070247
96,0.911404,0.264912,1.311838,14.288231
97,0.910526,0.256140,1.302505,14.507025
98,0.907018,0.256140,1.305609,14.727105
99,0.911404,0.257895,1.303176,14.948970
100,0.913158,0.258772,1.299712,15.173495
101,0.915789,0.259649,1.301724,15.396169
102,0.919298,0.265789,1.307252,15.618997
103,0.921930,0.264035,1.304472,15.842867
104,0.922807,0.263158,1.302281,16.068755
105,0.921930,0.259649,1.295909,16.292902
106,0.921053,0.264035,1.300000,16.517990
107,0.916667,0.263158,1.300478,16.743382
108,0.918421,0.259649,1.297039,16.972666
109,0.918421,0.258772,1.294174,17.200403
110,0.920175,0.255263,1.290753,17.428973
111,0.920175,0.257895,1.293613,17.659262
112,0.921053,0.252632,1.286667,17.889697
113,0.953509,0.610526,1.751610,18.131765
