Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,394.369,-62.612,23.5058,-0.553349,-0.472427,0.445435,0.521733
0,1,-230.854,-55.5453,321.903,0.746148,-0.587913,0.193371,-0.245417
0,2,-163.498,118.183,-345.4,0.118886,-0.232629,0.859531,-0.439268
0,0,393.664,-68.4145,18.6644,-0.553596,-0.465685,0.444439,0.52834
0,1,-236.13,-60.6679,317.115,0.74815,-0.580229,0.197261,-0.25435
0,2,-166.214,111.718,-346.254,0.121872,-0.228757,0.852403,-0.454123
1,0,392.728,-74.742,13.3553,-0.553758,-0.458309,0.443253,0.535567
1,1,-241.691,-66.1865,311.777,0.749905,-0.572156,0.201435,-0.264014
1,2,-163.76,105.495,-349.362,0.120454,-0.220882,0.849701,-0.463369
2,0,391.685,-80.7086,8.31838,-0.553807,-0.451327,0.442037,0.542407
2,1,-246.793,-71.3274,306.603,0.751163,-0.564808,0.205343,-0.273094
2,2,-160.423,99.8094,-352.565,0.11826,-0.212856,0.847835,-0.471044
3,0,390.189,-88.0248,1.95192,-0.553629,-0.442646,0.440491,0.550934
3,1,-252.825,-77.5625,300.106,0.752264,-0.556086,0.210054,-0.284157
3,2,-155.068,93.038,-356.788,0.11451,-0.202243,0.846369,-0.479213
4,0,388.907,-93.4823,-3.47408,-0.552947,-0.435784,0.439585,0.55777
4,1,-257.326,-82.2512,294.988,0.752739,-0.549653,0.213658,-0.2926
4,2,-149.152,88.1636,-360.529,0.110075,-0.192932,0.846878,-0.483175
