iteration,coverage,redundancy,affinity,time
0,0.866424,0.225757,1.268082,0.141783
1,0.871790,0.237064,1.280721,0.377679
2,0.874473,0.247604,1.293447,0.610793
3,0.877348,0.258528,1.304500,0.844895
4,0.878114,0.258720,1.306635,1.090288
5,0.877923,0.262361,1.311504,1.328350
6,0.878881,0.263703,1.313127,1.565124
7,0.879456,0.266769,1.315973,1.803092
8,0.929092,0.426984,1.698432,2.078822
9,0.931200,0.423917,1.696440,2.463655
10,0.931775,0.421809,1.690868,2.847017
11,0.929667,0.422192,1.693259,3.244450
12,0.931200,0.421043,1.691089,3.636801
13,0.931008,0.418934,1.688761,4.027586
14,0.931391,0.417593,1.686420,4.426593
15,0.932733,0.417018,1.684816,4.822079
16,0.934458,0.416826,1.682937,5.218751
17,0.935224,0.416443,1.682172,5.615563
18,0.936182,0.415102,1.679427,6.012034
19,0.939440,0.415868,1.677071,6.411806
20,0.940399,0.418168,1.678419,6.812257
21,0.941932,0.418360,1.676704,7.213774
22,0.943082,0.420084,1.678317,7.625674
23,0.944423,0.421809,1.676948,8.033246
24,0.942507,0.423342,1.680561,8.449123
25,0.944615,0.422767,1.678231,8.861593
26,0.945573,0.421426,1.676936,9.277038
27,0.947106,0.421426,1.675435,9.685922
28,0.948639,0.423151,1.676162,10.097457
29,0.949406,0.422576,1.675010,10.510917
30,0.967804,0.490034,2.079406,10.955498
31,0.967612,0.487351,2.074470,11.414067
32,0.967229,0.484477,2.076481,11.871532
33,0.967420,0.480452,2.073494,12.328392
34,0.967420,0.481985,2.076862,12.784138
35,0.967037,0.483519,2.081252,13.241393
36,0.967804,0.486968,2.087723,13.701427
37,0.968570,0.486777,2.089038,14.161756
38,0.968570,0.487735,2.091611,14.623288
39,0.968379,0.489460,2.091431,15.084047
40,0.969912,0.490801,2.094843,15.549576
41,0.968954,0.491184,2.097706,16.025642
42,0.969912,0.491184,2.098992,16.498971
43,0.969912,0.491568,2.099783,16.983090
44,0.971445,0.491759,2.098639,17.458803
45,0.972020,0.491951,2.101538,17.921275
46,0.973361,0.494634,2.102579,18.389803
47,0.972403,0.495017,2.103074,18.858277
48,0.974320,0.496359,2.104642,19.326055
49,0.973553,0.497509,2.107677,19.816418
50,0.974320,0.497317,2.106216,20.307629
51,0.975470,0.498275,2.108644,20.807742
52,0.976811,0.500383,2.110457,21.406825
53,0.977194,0.500192,2.108845,21.999212
54,0.976811,0.500958,2.108888,22.585916
55,0.976811,0.501150,2.110850,23.170936
56,0.977769,0.502300,2.108781,23.742746
57,0.978536,0.503258,2.109479,24.316650
58,0.983327,0.556343,2.501851,24.940674
