Timestep,CoverageScore
0,0.8584
1,0.8613
2,0.8730
3,0.8822
4,0.8864
5,0.8893
6,0.8918
7,0.8903
8,0.9334
9,0.9308
10,0.9258
11,0.9212
12,0.9189
13,0.9164
14,0.9146
15,0.9112
16,0.9096
17,0.9068
18,0.9041
19,0.9039
20,0.9031
21,0.9062
22,0.9060
23,0.9041
24,0.9033
25,0.9058
26,0.9012
27,0.9045
28,0.9056
29,0.9020
30,0.9248
31,0.9227
32,0.9242
33,0.9267
34,0.9265
35,0.9252
36,0.9331
37,0.9317
38,0.9327
39,0.9340
40,0.9352
41,0.9338
42,0.9344
43,0.9367
44,0.9348
45,0.9375
46,0.9371
47,0.9386
48,0.9369
49,0.9380
50,0.9380
51,0.9405
52,0.9589
53,0.9624
54,0.9630
55,0.9657
56,0.9651
57,0.9649
58,0.9645
59,0.9655
60,0.9647
61,0.9657
62,0.9660
63,0.9670
64,0.9666
65,0.9689
66,0.9701
67,0.9695
68,0.9708
69,0.9703
70,0.9695
71,0.9683
72,0.9693
73,0.9710
74,0.9701
75,0.9722
76,0.9710
77,0.9699
78,0.9697
79,0.9697
80,0.9816
