Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,-163.901,-304.043,201.728,0.840906,-0.212219,0.121819,-0.482701
0,1,-270.857,289.945,-50.6784,0.242454,-0.61471,0.698217,-0.275392
0,2,310.792,143.758,206.741,0.469056,0.733766,-0.41412,-0.264723
0,3,123.604,-129.578,-357.675,-0.213528,-0.0855096,0.361792,0.903438
0,0,-134.429,-281.807,250.027,0.879176,-0.198956,0.0955646,-0.422296
0,1,-234.009,324.119,-13.6656,0.213755,-0.661231,0.684221,-0.221186
0,2,287.519,112.651,254.25,0.509643,0.747045,-0.352598,-0.240547
0,3,162.002,-168.123,-324.793,-0.284346,-0.114703,0.356084,0.88272
1,0,-113.348,-255.039,286.544,0.9062,-0.192304,0.0781753,-0.368387
1,1,-228.04,328.387,12.656,-0.214636,0.685384,-0.664031,0.207949
1,2,257.384,80.3789,295.453,0.552349,0.75115,-0.291238,-0.214159
1,3,182.161,-190.133,-301.109,-0.326245,-0.131061,0.348972,0.86868
2,0,-117.538,-232.84,303.266,0.912098,-0.217163,0.0805407,-0.338276
2,1,-244.127,316.735,8.98204,-0.23056,0.676808,-0.661777,0.22544
2,2,230.943,62.0254,320.653,0.577564,0.753151,-0.249911,-0.191647
2,3,179.047,-180.332,-308.905,-0.311988,-0.128577,0.358683,0.870332
3,0,-134.747,-216.607,308.098,0.904624,-0.258414,0.0930962,-0.325899
3,1,-270.612,294.374,-10.6151,0.253379,-0.650023,0.667508,-0.260195
3,2,212.787,59.2837,333.477,0.579128,0.762533,-0.229641,-0.174408
3,3,164.772,-155.996,-329.417,-0.272843,-0.117412,0.377441,0.877103
4,0,-153.383,-205.606,306.92,0.892168,-0.29612,0.107451,-0.323735
4,1,-293.765,269.388,-33.6479,0.272428,-0.619454,0.673951,-0.296395
4,2,202.307,65.1132,338.869,0.56596,0.776708,-0.223412,-0.162792
4,3,148.203,-127.764,-348.873,-0.229824,-0.105309,0.403035,0.879576
5,0,-169.709,-199.825,302.108,0.879367,-0.323029,0.120618,-0.328354
5,1,-307.366,249.825,-55.8004,0.281849,-0.592293,0.681583,-0.324339
5,2,199.012,74.7838,338.824,0.547115,0.79006,-0.227342,-0.157434
5,3,134.714,-99.6972,-363.198,-0.191532,-0.0965321,0.439595,0.872212
6,0,-182.6,-198.911,295.113,0.868612,-0.338238,0.131388,-0.337411
6,1,-311.396,239.209,-76.2335,0.281216,-0.570636,0.692075,-0.341063
6,2,201.433,85.6814,334.789,0.528664,0.799375,-0.238139,-0.157492
6,3,126.301,-74.4109,-372.171,-0.161933,-0.0925433,0.487474,0.852984
7,0,-190.749,-204.507,285.992,0.861554,-0.339432,0.138376,-0.351229
7,1,-310.587,233.563,-94.7842,0.275877,-0.55264,0.703634,-0.351253
7,2,207.316,94.0364,328.903,0.517087,0.80234,-0.250582,-0.161493
7,3,122.577,-59.95,-376.006,-0.146917,-0.0916927,0.521458,0.835517
7,4,146.169,352.449,-120.061,-0.115531,-0.580153,0.790746,0.157468
8,0,-201.999,-232.896,254.864,0.847634,-0.316381,0.148944,-0.399043
8,1,-323.412,196.714,-129.262,0.285093,-0.507095,0.709005,-0.398608
8,2,217.629,93.6079,322.297,0.522553,0.793605,-0.260295,-0.171393
8,3,109.715,-77.0202,-376.869,-0.150874,-0.0784248,0.454499,0.874367
8,4,183.563,318.413,-157.853,-0.142223,-0.531466,0.80667,0.215869
9,0,-205.308,-256.01,228.708,0.836353,-0.293936,0.153425,-0.43655
9,1,-338.151,158.723,-143.042,0.303907,-0.47837,0.695424,-0.4418
9,2,218.872,82.0092,324.607,0.542197,0.782164,-0.252297,-0.174893
9,3,97.6765,-106.472,-372.992,-0.171227,-0.0666433,0.356531,0.916038
9,4,218.594,280.67,-182.868,-0.169237,-0.49272,0.80728,0.27728
10,0,-203.182,-272.895,210.346,0.82912,-0.274761,0.153161,-0.462178
10,1,-348.386,130.305,-147.132,0.320432,-0.461962,0.679524,-0.471341
10,2,216.62,68.7866,329.157,0.563735,0.770486,-0.240162,-0.175717
10,3,91.8308,-134.064,-365.505,-0.198358,-0.0614216,0.289347,0.93443
10,4,248.376,255.578,-181.628,-0.196483,-0.484107,0.79007,0.320663
11,0,-197.794,-283.731,200.934,0.826855,-0.259763,0.149508,-0.4759
11,1,-354.53,113.944,-146.03,0.331907,-0.455302,0.667601,-0.48667
11,2,212.189,57.5117,334.168,0.582081,0.76085,-0.227834,-0.174302
11,3,92.6564,-156.449,-356.284,-0.225458,-0.0617543,0.256856,0.937753
11,4,272.739,245.786,-158.752,-0.22325,-0.501716,0.763548,0.339758
12,0,-191.546,-289.819,198.28,0.828176,-0.248947,0.144554,-0.480889
12,1,-358.065,107.758,-142.048,0.338763,-0.455719,0.660612,-0.491071
12,2,206.05,48.6411,339.378,0.596608,0.753844,-0.215856,-0.170833
12,3,97.3226,-173.62,-346.965,-0.249121,-0.0650602,0.244165,0.934927
12,4,287.51,246.641,-128.477,-0.243328,-0.529334,0.738483,0.339471
13,0,-185.521,-292.816,199.601,0.831452,-0.241223,0.139456,-0.480678
13,1,-359.884,108.444,-136.834,0.342088,-0.460362,0.657514,-0.488588
13,2,198.378,41.4691,344.857,0.608505,0.748861,-0.203755,-0.165567
13,3,104.17,-187.229,-337.778,-0.269947,-0.0700407,0.24118,0.929545
13,4,295.229,251.1,-98.9365,-0.257403,-0.556842,0.716845,0.331366
14,0,-180.144,-293.923,202.873,0.835496,-0.235665,0.134758,-0.477754
14,1,-360.473,112.491,-131.928,0.342978,-0.466322,0.656881,-0.483133
14,2,189.412,35.5576,350.512,0.618486,0.745396,-0.191407,-0.158818
