iteration,coverage,redundancy,affinity,time
0,0.848539,0.332656,1.454927,0.163566
1,0.880051,0.365693,1.486861,0.564282
2,0.917916,0.393139,1.503045,0.913306
3,0.935197,0.425921,1.532880,1.348955
4,0.942313,0.429733,1.557174,1.784470
5,0.940788,0.421347,1.521880,2.225370
6,0.932910,0.417789,1.526832,2.665427
7,0.938247,0.426684,1.532503,3.106738
8,0.962389,0.594917,1.806443,3.571848
9,0.962643,0.573825,1.817054,4.052771
10,0.966201,0.556544,1.797738,4.533570
11,0.960102,0.575095,1.806247,5.012408
12,0.960102,0.574079,1.778454,5.490771
13,0.964676,0.560102,1.733930,5.967641
14,0.973062,0.565693,1.730217,6.447720
15,0.972046,0.567726,1.720000,6.929380
16,0.966963,0.558069,1.712221,7.410177
17,0.960864,0.545870,1.691880,7.887418
18,0.966455,0.535705,1.691033,8.369190
19,0.970521,0.532147,1.683687,8.851980
20,0.971792,0.528335,1.678609,9.336616
21,0.970013,0.520457,1.669898,9.821261
22,0.968488,0.518933,1.667541,10.308967
23,0.965947,0.520712,1.684294,10.799220
24,0.966709,0.529098,1.693743,11.290551
25,0.966963,0.537484,1.714849,11.783279
26,0.967726,0.544091,1.727153,12.278009
27,0.968234,0.554257,1.745932,12.772874
28,0.974841,0.561626,1.741397,13.275092
29,0.973062,0.568996,1.761818,13.771900
30,0.972046,0.572554,1.765229,14.274956
31,0.974333,0.576366,1.770475,14.778994
32,0.972554,0.579670,1.777371,15.288291
33,0.972808,0.580940,1.779781,15.792922
34,0.973571,0.577382,1.782563,16.302080
35,0.974841,0.581703,1.785975,16.813445
36,0.990089,0.759085,2.249743,17.360428
