Timestep,CoverageScore
0,0.9185
1,0.9414
2,0.9414
3,0.9459
4,0.9444
5,0.9457
6,0.9505
7,0.9576
8,0.9640
9,0.9561
10,0.9574
11,0.9602
12,0.9566
13,0.9561
14,0.9612
15,0.9609
16,0.9650
17,0.9650
18,0.9660
19,0.9645
20,0.9652
21,0.9629
22,0.9637
23,0.9637
24,0.9619
25,0.9624
26,0.9642
27,0.9640
28,0.9647
29,0.9637
30,0.9602
31,0.9612
32,0.9599
33,0.9698
34,0.9619
35,0.9594
36,0.9569
37,0.9508
38,0.9482
39,0.9480
40,0.9510
41,0.9556
42,0.9586
43,0.9657
44,0.9695
45,0.9713
46,0.9726
47,0.9734
48,0.9708
49,0.9647
50,0.9614
51,0.9627
52,0.9607
53,0.9640
54,0.9685
55,0.9660
56,0.9635
57,0.9647
58,0.9713
59,0.9718
60,0.9711
61,0.9830
62,0.9838
63,0.9830
64,0.9848
65,0.9830
66,0.9848
67,0.9858
68,0.9860
69,0.9868
70,0.9853
71,0.9876
72,0.9871
73,0.9883
74,0.9871
75,0.9881
76,0.9883
77,0.9893
78,0.9896
79,0.9891
80,0.9888
81,0.9906
