iteration,coverage,redundancy,affinity,time
0,0.892954,0.454123,1.575114,0.154593
1,0.933217,0.438057,1.556316,0.595668
2,0.900697,0.379404,1.521599,1.060204
3,0.828107,0.381146,1.575970,1.503608
4,0.883469,0.395470,1.551928,1.855312
5,0.937089,0.418118,1.538732,2.227007
6,0.949864,0.438250,1.552680,2.699558
7,0.950445,0.455478,1.565988,3.180652
8,0.937089,0.532907,1.847552,3.680431
9,0.919473,0.483933,1.882526,4.183494
10,0.944251,0.483740,1.825543,4.682238
11,0.962447,0.523035,1.825623,5.184838
12,0.970770,0.572784,1.888734,5.690188
13,0.973674,0.583043,1.905567,6.194127
14,0.966705,0.569686,1.914097,6.701641
15,0.962060,0.549942,1.922535,7.209896
16,0.962447,0.560201,1.965406,7.733350
17,0.972319,0.578784,2.014732,8.257442
18,0.982578,0.602787,2.072301,8.780808
19,0.988579,0.625242,2.108479,9.406193
20,0.990902,0.634533,2.119359,10.026275
