Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,-138.999,328.298,-181.383,0.103985,-0.512307,0.835448,-0.169575
0,1,-241.898,-92.3165,304.898,0.773074,-0.532427,0.195565,-0.283957
0,2,368.74,63.492,141.421,0.530063,0.629133,-0.434783,-0.366317
0,3,12.2901,-299.431,-264.934,-0.410806,-0.00842719,0.0186982,0.911492
0,0,-96.8839,300.677,-245.371,0.0682446,-0.434314,0.887286,-0.139421
0,1,-181.548,-137.23,328.95,0.854587,-0.425287,0.132775,-0.266802
0,2,378.44,10.1971,129.149,0.567283,0.582774,-0.416943,-0.40586
0,3,61.0233,-337.358,-206.072,-0.490382,-0.0439946,0.0777752,0.866915
1,0,-24.2902,268.702,-295.312,0.0163007,-0.361379,0.93133,-0.0420095
1,1,-101.877,-198.231,332.153,0.929832,-0.224951,0.0684784,-0.283054
1,2,359.747,-61.3427,163.765,0.641545,0.541411,-0.350469,-0.415289
1,3,121.624,-362.59,-117.201,-0.58679,-0.095791,0.129544,0.793549
2,0,-28.8244,256.665,-305.437,0.0192148,-0.34327,0.937573,-0.0524814
2,1,-79.7391,-246.137,305.054,0.927291,-0.146457,0.0537447,-0.340285
2,2,338.844,-110.341,181.684,0.690016,0.500983,-0.306917,-0.422725
2,3,144.84,-367.424,-63.4084,-0.637246,-0.121069,0.142057,0.747717
3,0,-75.4719,243.523,-308.221,0.0507046,-0.334891,0.930289,-0.140852
3,1,-111.683,-278.705,264.292,0.894748,-0.172602,0.0780132,-0.404411
3,2,317.914,-138.037,199.691,0.723936,0.474901,-0.274466,-0.418395
3,3,131.106,-374.365,-51.5966,-0.650589,-0.110627,0.125949,0.740697
4,0,-129.964,231.947,-298.848,0.08982,-0.344053,0.904335,-0.23609
4,1,-159.296,-293.862,219.704,0.853123,-0.216358,0.116701,-0.460164
4,2,300.863,-151.245,215.885,0.746872,0.460477,-0.251769,-0.408357
4,3,105.747,-380.894,-61.1353,-0.644874,-0.0878564,0.102488,0.752273
5,0,-170.123,245.802,-265.781,0.122104,-0.390978,0.870787,-0.271951
5,1,-202.341,-294.089,180.471,-0.813436,0.252804,-0.155468,0.500241
5,2,296.211,-150.843,222.498,0.752073,0.460987,-0.246162,-0.401599
5,3,85.7266,-382.795,-78.2217,-0.630366,-0.0697214,0.0849968,0.768474
