Timestep,CoverageScore
0,0.9448
1,0.9566
2,0.9496
3,0.9448
4,0.9444
5,0.9460
6,0.9500
7,0.9500
8,0.9544
9,0.9558
10,0.9558
11,0.9510
12,0.9448
13,0.9418
14,0.9482
15,0.9492
16,0.9556
17,0.9576
18,0.9656
19,0.9674
20,0.9710
21,0.9704
22,0.9718
23,0.9756
24,0.9758
25,0.9762
26,0.9768
27,0.9770
28,0.9766
29,0.9790
30,0.9768
31,0.9782
32,0.9788
33,0.9766
34,0.9774
35,0.9788
36,0.9796
37,0.9780
38,0.9784
39,0.9776
40,0.9792
41,0.9792
42,0.9818
43,0.9842
44,0.9842
45,0.9830
46,0.9846
47,0.9864
48,0.9842
49,0.9890
50,0.9920
