iteration,coverage,redundancy,affinity,time
0,0.957206,0.362737,1.407423,0.163551
1,0.963464,0.365967,1.412319,0.618250
2,0.969721,0.411788,1.463364,0.988260
3,0.971740,0.452564,1.508101,1.369154
4,0.971538,0.473557,1.534386,1.744079
5,0.974970,0.507872,1.574327,2.123434
6,0.974970,0.525838,1.595859,2.504200
7,0.979209,0.527654,1.593898,2.886418
8,0.979411,0.519580,1.582440,3.276973
9,0.981025,0.519580,1.580041,3.658886
10,0.981227,0.508276,1.566962,4.043468
11,0.979612,0.503432,1.561096,4.428401
12,0.978805,0.502826,1.562178,4.820680
13,0.981025,0.506056,1.566049,5.214540
14,0.980824,0.508882,1.567401,5.601471
15,0.980016,0.511910,1.571576,5.997390
16,0.980824,0.512717,1.570694,6.386629
17,0.981025,0.510698,1.569136,6.785734
18,0.980622,0.508478,1.566488,7.182484
19,0.981429,0.511708,1.569930,7.584018
20,0.983246,0.635648,1.846028,7.995897
21,0.987485,0.646145,1.853434,8.419428
22,0.992531,0.645539,1.826317,8.847906
