Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,-138.063,328.328,-182.041,0.103201,-0.511662,0.836128,-0.168645
0,1,-237.281,-90.9398,308.913,0.775651,-0.533392,0.191195,-0.278033
0,2,371.422,67.1647,132.419,0.523019,0.626079,-0.443844,-0.370781
0,3,3.92284,-304.553,-259.291,-0.419379,-0.00270082,0.0058462,0.907788
0,0,-100.971,298.951,-245.831,0.0711783,-0.43318,0.886603,-0.145683
0,1,-182.586,-137.984,328.059,0.854041,-0.425074,0.133619,-0.268462
0,2,390.69,36.4078,77.6903,0.520437,0.57119,-0.469185,-0.427495
0,3,52.1192,-251.864,-306.346,-0.340372,-0.034848,0.0957026,0.934759
1,0,-118.422,274.027,-266.244,0.08282,-0.40042,0.893666,-0.184839
1,1,-144.878,-140.172,345.488,0.888768,-0.376763,0.101881,-0.240333
1,2,380.948,72.57,98.0431,0.503018,0.607887,-0.473328,-0.391672
1,3,72.8547,-207.693,-334,-0.283152,-0.0482217,0.160812,0.944266
2,0,-153.31,277.607,-243.784,0.110305,-0.427905,0.86867,-0.223925
2,1,-144.35,-122.105,352.496,0.879801,-0.408131,0.102544,-0.221053
2,2,356.262,117.853,138.522,0.480488,0.665044,-0.463411,-0.334811
2,3,77.7838,-206.363,-333.712,-0.283191,-0.0515992,0.171668,0.942163
3,0,-187.448,282.512,-212.25,0.139877,-0.463812,0.837562,-0.252592
3,1,-156.195,-129.311,344.792,0.873123,-0.410667,0.111808,-0.237715
3,2,334.638,138.804,169.562,0.468603,0.701686,-0.446323,-0.298066
3,3,90.3199,-227.074,-316.67,-0.316977,-0.0607262,0.178088,0.929582
4,0,-214.069,276.253,-194.574,0.164025,-0.479457,0.815689,-0.279051
4,1,-169.253,-156.074,327.1,0.873214,-0.382586,0.121142,-0.276495
4,2,332.394,135.789,176.282,0.47325,0.704547,-0.438979,-0.294865
4,3,117.178,-241.974,-296.172,-0.351137,-0.080547,0.208569,0.909238
5,0,-228.873,262.345,-196.957,0.17685,-0.471729,0.808853,-0.303237
5,1,-189.993,-184.16,299.979,0.861381,-0.364688,0.137855,-0.32561
5,2,340.505,131.066,163.946,0.475239,0.692156,-0.447808,-0.307468
5,3,141.127,-238.908,-288.108,-0.360756,-0.0985937,0.244499,0.894625
6,0,-230.843,249.337,-211.051,0.177304,-0.452492,0.813726,-0.318849
6,1,-210.281,-203.769,272.507,0.844284,-0.357517,0.155666,-0.367607
6,2,346.091,136.871,146.586,0.46474,0.683556,-0.465437,-0.316444
6,3,153.515,-224.525,-293.294,-0.348918,-0.10788,0.274984,0.889383
7,0,-223.861,241.733,-226.83,0.169768,-0.433176,0.824144,-0.322993
7,1,-221.53,-212.986,256.049,0.833193,-0.354755,0.166176,-0.390287
