Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,48.888,-365.246,155.582,-0.831509,-0.0554016,0.0367464,0.551519
0,1,59.2398,-118.182,-377.523,-0.163115,-0.0385931,0.226986,0.959365
0,2,146.655,190.555,319.657,0.305519,0.897903,-0.300013,-0.102082
0,3,-254.114,292.982,-97.9145,0.214881,-0.575702,0.739112,-0.275874
0,0,69.0487,-375.292,119.949,-0.802853,-0.0732423,0.0537527,0.589215
0,1,89.554,-149.779,-359.926,-0.21574,-0.0595777,0.259439,0.939467
0,2,184.62,172.295,310.21,0.375538,0.864137,-0.307259,-0.133529
0,3,-244.277,286.708,-134.638,0.199017,-0.540458,0.767136,-0.282488
1,0,61.2329,-381.2,104.582,-0.791666,-0.0631785,0.0483418,0.605752
1,1,88.5411,-172.026,-350.096,-0.242738,-0.0588023,0.227975,0.941089
1,2,191.589,187.058,297.158,0.362394,0.860301,-0.330423,-0.139188
1,3,-251.61,271.658,-151.308,0.203465,-0.519103,0.772892,-0.302939
2,0,48.6222,-382.968,104.744,-0.792728,-0.0501218,0.0383346,0.606301
2,1,80.0023,-188.174,-343.788,-0.25974,-0.0529219,0.192506,0.944815
2,2,189.716,203.014,287.738,0.340271,0.86249,-0.348464,-0.137477
2,3,-258.528,262.751,-155.324,0.209565,-0.511789,0.771024,-0.315716
3,0,35.9846,-381.728,113.97,-0.800652,-0.0376543,0.02809,0.597285
3,1,72.5599,-201.761,-337.679,-0.274959,-0.0479392,0.164933,0.94599
3,2,188.849,219.078,276.299,0.320206,0.861883,-0.368609,-0.136945
3,3,-262.298,259.457,-154.536,0.213369,-0.511178,0.768323,-0.320703
4,0,25.4825,-379.199,124.736,-0.809433,-0.0271667,0.0196762,0.586253
4,1,69.013,-216.167,-329.407,-0.293516,-0.0457168,0.146953,0.943485
4,2,190.409,225.964,269.6,0.313801,0.859377,-0.37924,-0.138479
4,3,-266.191,255.881,-153.841,0.217326,-0.51036,0.76553,-0.325984
5,0,17.6517,-377.407,131.347,-0.814752,-0.019043,0.0135407,0.579338
5,1,69.7848,-229.353,-320.199,-0.312397,-0.0464743,0.139616,0.938486
5,2,192.373,233.556,261.619,0.307135,0.855974,-0.391467,-0.140464
5,3,-267.511,253.442,-155.58,0.2184,-0.507767,0.765541,-0.329274
6,0,10.6944,-376.947,133.403,-0.816468,-0.0115797,0.00818647,0.577217
6,1,73.3494,-240.191,-311.333,-0.329269,-0.0491554,0.139228,0.932621
6,2,195.167,244.526,249.232,0.297708,0.850241,-0.409729,-0.143465
6,3,-266.667,252.198,-159.012,0.217083,-0.504093,0.767757,-0.330628
7,0,3.66365,-375.575,137.585,-0.819735,-0.00399806,0.00279332,0.572722
7,1,75.711,-250.495,-302.523,-0.345313,-0.0510443,0.137033,0.927025
7,2,197.372,255.893,235.718,0.287596,0.843763,-0.428927,-0.146199
