iteration,coverage,redundancy,affinity,time
0,0.936914,0.360608,1.414444,0.175052
1,0.947949,0.451176,1.515045,0.835113
2,0.946908,0.496773,1.570361,1.272892
3,0.948990,0.507808,1.582273,1.722061
4,0.949615,0.518842,1.594168,2.161708
5,0.950448,0.529669,1.605476,2.612052
6,0.952113,0.535082,1.612290,3.059335
7,0.951072,0.539871,1.619527,3.508018
8,0.965438,0.689985,1.947595,3.972996
9,0.967312,0.716635,1.980198,4.450108
10,0.968561,0.736831,2.006234,4.927641
11,0.970435,0.745159,2.016306,5.409988
12,0.971893,0.760150,2.037275,5.893807
13,0.975016,0.763898,2.038864,6.374959
14,0.977306,0.764939,2.039625,6.948454
15,0.971893,0.777014,2.061697,7.521912
16,0.973766,0.781387,2.064571,8.011862
17,0.975432,0.786175,2.069370,8.500447
18,0.977930,0.793254,2.074090,9.079611
19,0.974807,0.791589,2.080094,9.663079
20,0.975224,0.796585,2.075576,10.156241
21,0.975016,0.798043,2.081145,10.741383
22,0.974599,0.795544,2.076266,11.326318
23,0.972725,0.798667,2.083262,11.826246
24,0.974391,0.798251,2.077564,12.322621
25,0.974183,0.800958,2.082283,12.824413
26,0.973350,0.803040,2.090267,13.327372
27,0.972517,0.805330,2.093770,13.833738
28,0.970435,0.802415,2.094400,14.337999
29,0.971476,0.803456,2.092156,14.842082
30,0.972934,0.801999,2.091376,15.349487
31,0.973142,0.801166,2.086008,15.859583
32,0.971268,0.803873,2.093891,16.370582
33,0.975016,0.807204,2.095025,16.882537
34,0.975224,0.808661,2.098847,17.485679
35,0.976889,0.808661,2.099531,18.087283
36,0.978971,0.842598,2.497235,18.729736
37,0.980429,0.844472,2.507539,19.408011
38,0.979804,0.841349,2.498300,20.085960
39,0.978139,0.837601,2.476160,20.769354
40,0.979596,0.843431,2.495643,21.453902
41,0.979804,0.850510,2.509562,22.136680
42,0.980637,0.850927,2.515711,22.826818
43,0.982095,0.850927,2.509646,23.521136
44,0.982927,0.851968,2.515357,24.203952
45,0.982303,0.853009,2.521195,24.898303
46,0.980637,0.855299,2.526752,25.596990
47,0.979804,0.856756,2.528687,26.279473
48,0.980429,0.856340,2.528138,26.977428
49,0.981678,0.852384,2.524496,27.685750
50,0.979596,0.854882,2.529649,28.374287
51,0.980845,0.853425,2.527913,29.073110
52,0.981678,0.850094,2.515589,29.777103
53,0.981470,0.851135,2.511880,30.479568
54,0.981262,0.848636,2.505623,31.186027
55,0.981262,0.854466,2.506684,31.896380
56,0.980221,0.852800,2.502974,32.602346
57,0.980012,0.851968,2.493095,33.301950
58,0.979388,0.853841,2.501913,34.011232
59,0.981054,0.853009,2.494694,34.731277
60,0.982511,0.857173,2.503073,35.434623
61,0.982303,0.859879,2.524163,36.146090
62,0.982095,0.862794,2.528302,36.863585
63,0.981678,0.861128,2.532131,37.576400
64,0.985842,0.895690,2.885533,38.323938
65,0.985842,0.895066,2.867371,39.107620
66,0.986050,0.896731,2.840794,39.900003
67,0.985218,0.897356,2.827134,40.688129
68,0.984177,0.896315,2.807912,41.473577
69,0.983760,0.894857,2.799577,42.264941
70,0.983344,0.896523,2.809867,43.059528
71,0.984177,0.898189,2.812143,43.857381
72,0.984385,0.896523,2.802242,44.654489
73,0.984385,0.896107,2.796743,45.453778
74,0.983968,0.897772,2.797503,46.252012
75,0.984177,0.895066,2.792257,47.056003
76,0.984385,0.893608,2.793359,47.864095
77,0.984385,0.893608,2.792513,48.671924
78,0.985426,0.894233,2.800127,49.482014
79,0.985218,0.895066,2.802198,50.295503
80,0.987091,0.895690,2.798988,51.109517
81,0.986675,0.893816,2.789196,51.926845
82,0.986675,0.896107,2.784343,52.744079
83,0.984593,0.895274,2.790019,53.566699
84,0.985218,0.892984,2.774937,54.387033
85,0.985218,0.893400,2.774303,55.210020
86,0.984593,0.890693,2.773525,56.033006
87,0.984801,0.895066,2.775899,56.856467
88,0.985009,0.894233,2.777425,57.685797
89,0.985218,0.894233,2.770499,58.514446
90,0.985009,0.892775,2.769816,59.349281
91,0.985426,0.893400,2.764420,60.182620
92,0.986467,0.894857,2.764880,61.015806
93,0.985634,0.892359,2.757288,61.856722
94,0.985842,0.892984,2.761140,62.697739
95,0.985009,0.892984,2.756922,63.537721
96,0.985842,0.892775,2.752482,64.381395
97,0.985426,0.892775,2.745193,65.224197
98,0.989590,0.911930,3.200084,66.112529
99,0.990423,0.918801,3.223250,67.014758
