Timestep,CoverageScore
0,0.9398
1,0.9620
2,0.9450
3,0.9373
4,0.9379
5,0.9510
6,0.9551
7,0.9620
8,0.9801
9,0.9763
10,0.9724
11,0.9738
12,0.9744
13,0.9732
14,0.9690
15,0.9605
16,0.9601
17,0.9609
18,0.9595
19,0.9628
20,0.9674
21,0.9649
22,0.9697
23,0.9695
24,0.9701
25,0.9659
26,0.9684
27,0.9680
28,0.9663
29,0.9653
30,0.9639
31,0.9626
32,0.9632
33,0.9626
34,0.9620
35,0.9605
36,0.9703
37,0.9736
38,0.9736
39,0.9711
40,0.9684
41,0.9724
42,0.9803
43,0.9790
44,0.9794
45,0.9799
46,0.9784
47,0.9796
48,0.9801
49,0.9799
50,0.9826
51,0.9821
52,0.9813
53,0.9828
54,0.9834
55,0.9823
56,0.9834
57,0.9826
58,0.9844
59,0.9832
60,0.9834
61,0.9828
62,0.9836
63,0.9811
64,0.9859
65,0.9836
66,0.9875
67,0.9859
68,0.9853
69,0.9853
70,0.9875
71,0.9873
72,0.9846
73,0.9859
74,0.9886
75,0.9867
76,0.9865
77,0.9875
78,0.9871
79,0.9880
80,0.9867
81,0.9863
82,0.9855
83,0.9861
84,0.9855
85,0.9867
86,0.9859
87,0.9886
88,0.9894
89,0.9898
90,0.9915
