iteration,coverage,redundancy,affinity,time
0,0.987090,0.351434,1.372846,0.171515
1,0.982582,0.400820,1.442544,0.614781
2,0.981762,0.433197,1.477980,0.994117
3,0.983197,0.466393,1.502084,1.371019
4,0.975205,0.465369,1.503887,1.756051
5,0.979098,0.434016,1.475094,2.134643
6,0.977049,0.389139,1.434564,2.512592
7,0.970492,0.352459,1.396115,2.892910
8,0.968852,0.340984,1.384095,3.272635
9,0.968238,0.341393,1.380317,3.651800
10,0.973566,0.343648,1.381814,4.032381
11,0.976639,0.342418,1.380613,4.414426
12,0.979508,0.339344,1.378870,4.799860
13,0.978689,0.340369,1.381910,5.185647
14,0.976639,0.336885,1.373059,5.581123
15,0.971721,0.336475,1.372838,5.969119
16,0.970082,0.327254,1.362484,6.358806
17,0.968033,0.329508,1.364733,6.751379
18,0.970902,0.334221,1.371887,7.144850
19,0.975000,0.330533,1.368222,7.551340
20,0.979098,0.330943,1.373378,7.950242
21,0.980328,0.336066,1.381898,8.342510
22,0.979713,0.341189,1.382347,8.746554
23,0.976434,0.336680,1.377964,9.143784
24,0.972131,0.333811,1.373103,9.539569
25,0.968648,0.330123,1.370848,9.935800
26,0.970697,0.538730,1.687777,10.353258
27,0.983811,0.572131,1.703603,10.783321
28,0.988320,0.616803,1.760522,11.219049
29,0.986270,0.637910,1.787035,11.655117
30,0.982582,0.653484,1.811887,12.096917
31,0.979303,0.652049,1.812722,12.536287
32,0.977459,0.637705,1.796436,12.976842
33,0.977869,0.638934,1.800503,13.417393
34,0.981148,0.642213,1.802423,13.857638
35,0.980533,0.632377,1.793312,14.302565
36,0.978893,0.622336,1.773079,14.747736
37,0.980738,0.611885,1.757417,15.193606
38,0.981762,0.613934,1.753287,15.641833
39,0.981557,0.609631,1.751566,16.093958
40,0.982172,0.614549,1.756937,16.542079
41,0.983811,0.617418,1.769631,16.991927
42,0.983402,0.621516,1.774328,17.440984
43,0.985041,0.638115,1.791138,17.894924
44,0.984631,0.647541,1.800832,18.350664
45,0.987090,0.651639,1.804650,18.807143
46,0.986680,0.653689,1.810177,19.266862
47,0.986270,0.653689,1.807604,19.735704
48,0.985041,0.650615,1.805076,20.198592
49,0.985041,0.652459,1.804036,20.665001
50,0.985041,0.648975,1.800291,21.134048
51,0.988934,0.774385,2.170742,21.632135
52,0.993238,0.794057,2.123788,22.167146
