Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,-170.982,-299.41,202.778,0.838979,-0.222679,0.127374,-0.4799
0,1,-269.036,289.284,-62.7256,0.237565,-0.604282,0.707798,-0.278261
0,2,306.351,146.398,211.463,0.466247,0.739556,-0.410661,-0.258898
0,3,133.667,-136.271,-351.516,-0.227894,-0.0931116,0.366583,0.897224
0,0,-117.08,-306.718,228.509,0.87167,-0.160711,0.083948,-0.45532
0,1,-232.399,309.146,-102.078,0.1933,-0.578824,0.751417,-0.250938
0,2,306.679,87.7803,241.335,0.539012,0.714937,-0.355603,-0.2681
0,3,198.698,-95.9554,-333.634,-0.24396,-0.153104,0.509043,0.811121
1,0,-136.465,-301.758,224.32,0.863559,-0.186188,0.0987666,-0.458089
1,1,-257.756,280.822,-121.246,0.214172,-0.550066,0.752187,-0.29287
1,2,269.94,82.1018,283.535,0.550361,0.742645,-0.306549,-0.227178
1,3,259.692,-44.4892,-300.966,-0.268975,-0.226814,0.60343,0.715598
2,0,-162.233,-318.596,179.379,-0.827525,0.198562,-0.122529,0.51065
2,1,-286.75,233.479,-152.52,0.238775,-0.502331,0.750575,-0.356774
2,2,219.886,101.645,318.306,0.510457,0.798321,-0.269227,-0.172147
2,3,260.598,-17.2965,-302.967,-0.254287,-0.237968,0.640514,0.684435
3,0,-162.11,-337.761,140.135,-0.801205,0.182315,-0.126458,0.555734
3,1,-303.263,211.498,-152.644,0.25722,-0.492984,0.736875,-0.384474
3,2,181.729,98.6791,342.399,0.492528,0.827898,-0.230607,-0.137191
3,3,251.364,-16.4794,-310.716,-0.24383,-0.228368,0.644312,0.687936
4,0,-136.228,-354.275,126.218,-0.797408,0.148028,-0.106774,0.575176
4,1,-301.801,229.12,-128.141,0.259176,-0.522161,0.727792,-0.361241
4,2,192.106,71.2474,343.539,0.550561,0.791395,-0.21808,-0.151715
4,3,257.943,-24.9594,-304.7,-0.255536,-0.232003,0.630886,0.69488
5,0,-111.42,-363.77,123.519,-0.800033,0.119775,-0.0870429,0.581399
5,1,-289.443,257.577,-99.3819,0.250962,-0.559277,0.720835,-0.323457
5,2,215.817,42.3529,334.11,0.608657,0.739712,-0.221612,-0.182349
5,3,266.817,-32.9883,-296.176,-0.269911,-0.238595,0.617836,0.698927
6,0,-109.408,-364.534,123.063,-0.800019,0.117467,-0.0854733,0.582121
6,1,-276.877,280.011,-70.2348,0.244025,-0.59385,0.70914,-0.2914
6,2,221.371,31.2423,331.691,0.627216,0.721951,-0.220589,-0.191643
6,3,264.226,-33.6083,-298.421,-0.26739,-0.235533,0.617604,0.701136
7,0,-125.397,-359.743,121.905,-0.79637,0.134819,-0.0984128,0.581321
7,1,-266.766,294.617,-45.1284,0.239549,-0.621454,0.696011,-0.268288
7,2,208.774,38.8551,338.974,0.614291,0.739165,-0.212414,-0.176529
7,3,250.619,-26.9648,-310.585,-0.248722,-0.223397,0.629767,0.70116
8,0,-145.614,-354.045,115.97,-0.78786,0.155691,-0.115514,0.584546
8,1,-252.65,308.567,-30.8975,0.22847,-0.639672,0.691147,-0.246855
8,2,203.179,52.2565,340.57,0.589546,0.760361,-0.215397,-0.167008
8,3,231.485,-16.1448,-325.813,-0.222695,-0.207704,0.64967,0.696559
9,0,-158.824,-352.289,103.282,-0.77544,0.166717,-0.128011,0.595408
9,1,-232.639,324.019,-29.8418,0.208378,-0.647516,0.697768,-0.22455
9,2,219.438,58.0683,329.355,0.582438,0.756611,-0.235474,-0.181267
9,3,219.051,-2.43722,-334.68,-0.203173,-0.200925,0.673845,0.681384
10,0,-163.918,-353.824,89.1037,-0.763584,0.168284,-0.134168,0.608785
10,1,-212.741,337.168,-32.5399,0.188232,-0.651071,0.706377,-0.204222
10,2,244.961,54.0376,311.567,0.5907,0.735209,-0.259185,-0.208241
10,3,222.427,9.82435,-332.31,-0.201096,-0.210174,0.691296,0.661436
