Timestep,CoverageScore
0,0.9656
1,0.9688
2,0.9729
3,0.9725
4,0.9713
5,0.9690
6,0.9698
7,0.9741
8,0.9764
9,0.9753
10,0.9733
11,0.9729
12,0.9688
13,0.9668
14,0.9670
15,0.9662
16,0.9690
17,0.9700
18,0.9674
19,0.9670
20,0.9605
21,0.9568
22,0.9542
23,0.9578
24,0.9595
25,0.9588
26,0.9556
27,0.9491
28,0.9482
29,0.9444
30,0.9517
31,0.9688
32,0.9833
33,0.9845
34,0.9845
35,0.9821
36,0.9800
37,0.9776
38,0.9739
39,0.9800
40,0.9835
41,0.9841
42,0.9861
43,0.9886
44,0.9847
45,0.9841
46,0.9845
47,0.9843
48,0.9843
49,0.9841
50,0.9841
51,0.9837
52,0.9843
53,0.9870
54,0.9839
55,0.9882
56,0.9939
