Timestep,CoverageScore
0,0.7075
1,0.7549
2,0.8202
3,0.8950
4,0.9175
5,0.9033
6,0.8882
7,0.8903
8,0.9127
9,0.9621
10,0.8842
11,0.8642
12,0.8697
13,0.8650
14,0.8807
15,0.8921
16,0.9031
17,0.9438
18,0.9513
19,0.9577
20,0.9597
21,0.9575
22,0.9581
23,0.9568
24,0.9591
25,0.9591
26,0.9689
27,0.9713
28,0.9739
29,0.9741
30,0.9754
31,0.9729
32,0.9689
33,0.9678
34,0.9684
35,0.9733
36,0.9853
37,0.9774
38,0.9796
39,0.9746
40,0.9737
41,0.9774
42,0.9815
43,0.9862
44,0.9866
45,0.9864
46,0.9870
47,0.9878
48,0.9876
49,0.9880
50,0.9894
51,0.9888
52,0.9906
