Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,-179.179,175.329,-311.696,0.128805,-0.30625,0.869427,-0.365672
0,1,-225.583,-308.031,119.286,-0.765768,0.250415,-0.184115,0.563022
0,2,363.789,-120.88,-114.218,-0.484702,-0.349702,0.469089,0.650176
0,3,41.0152,253.471,306.709,0.0753092,0.936864,-0.34039,-0.027362
0,0,-221.861,218.172,-251.354,0.166625,-0.397547,0.832186,-0.348796
0,1,-199.222,-291.758,187.584,0.818853,-0.252902,0.152059,-0.49234
0,2,379.436,-113.13,-56.8348,-0.525128,-0.391404,0.451599,0.605889
0,3,-8.94922,197.29,347.846,-0.0219117,0.966606,-0.255263,0.0057865
1,0,-252.494,252.403,-180.386,0.200548,-0.484043,0.786888,-0.326022
1,1,-159.157,-259.668,259.31,0.873725,-0.246459,0.11385,-0.40361
1,2,390.668,-85.8675,-2.28606,-0.549484,-0.441826,0.444358,0.552633
1,3,-47.9591,131.953,374.551,-0.170644,0.969056,-0.175655,0.0309316
2,0,-263.491,276.672,-118.427,0.22033,-0.550836,0.747431,-0.298967
2,1,-112.196,-218.091,315.988,0.919465,-0.22264,0.0762641,-0.314958
2,2,395.547,-43.2232,40.9213,0.55273,0.495621,-0.447264,-0.498801
2,3,-63.2223,73.4788,388.077,-0.345228,0.930545,-0.114458,0.0424632
3,0,-253.913,298.176,-81.3575,0.218006,-0.592264,0.727943,-0.267947
3,1,-65.2911,-177.39,352.519,0.954831,-0.170141,0.0427374,-0.239842
3,2,393.816,-1.87025,70.0412,0.543296,0.540722,-0.45304,-0.455196
3,3,-47.2923,29.6682,396.085,-0.482849,0.872905,-0.0612152,0.0338613
4,0,-233.034,316.157,-75.7614,0.198806,-0.604793,0.732603,-0.24082
4,1,-23.4908,-147.276,371.158,0.978739,-0.0775653,0.0150007,-0.189283
4,2,390.059,31.8126,82.7164,0.526472,0.571159,-0.463057,-0.426828
4,3,-17.5224,1.33246,399.614,-0.679606,0.733248,-0.0161145,0.0149356
