iteration,coverage,redundancy,affinity,time
0,0.733851,0.365086,1.540947,0.183271
1,0.764922,0.356296,1.509353,0.615236
2,0.785977,0.350368,1.495449,0.974986
3,0.816231,0.355683,1.486101,1.334935
4,0.839943,0.330948,1.440253,1.692689
5,0.865290,0.334628,1.433262,2.054391
6,0.886141,0.296811,1.385006,2.413901
7,0.894113,0.305397,1.410837,2.773406
8,0.932747,0.483034,1.807583,3.179412
9,0.898201,0.491210,1.842740,3.662693
10,0.867539,0.475879,1.843073,4.051954
11,0.880417,0.485895,1.831902,4.441487
12,0.873058,0.483238,1.817841,4.831769
13,0.877555,0.461365,1.777312,5.225022
14,0.888594,0.475470,1.769956,5.617483
15,0.905765,0.500818,1.785601,6.031423
16,0.915576,0.439902,1.668453,6.540894
17,0.946852,0.556010,1.784111,7.075377
18,0.954620,0.551104,1.758244,8.136094
19,0.962796,0.525143,1.717410,8.651758
20,0.978741,0.558667,1.738095,9.182861
21,0.980376,0.550695,1.724979,9.800797
22,0.987939,0.548038,1.712601,12.168625
23,0.988962,0.551513,1.713725,13.019176
24,0.990597,0.543949,1.707181,13.669358
