iteration,coverage,redundancy,affinity,time
0,0.417897,0.000000,1.000000,0.085307
1,0.388358,0.000000,1.000000,0.261014
2,0.443962,0.000000,1.000000,0.370620
3,0.364031,0.000000,1.000000,0.478563
4,0.403997,0.000000,1.000000,0.584982
5,0.443962,0.000000,1.000000,0.695021
6,0.451781,0.000000,1.000000,0.803507
7,0.441355,0.000000,1.000000,0.913270
8,0.440487,0.000000,1.000000,1.022930
9,0.432667,0.000000,1.000000,1.132020
10,0.437880,0.000000,1.000000,1.241303
11,0.440487,0.000000,1.000000,1.350463
12,0.424848,0.000000,1.000000,1.459379
13,0.364031,0.000000,1.000000,1.567927
14,0.327541,0.000000,1.000000,1.677119
15,0.284101,0.000000,1.000000,1.786288
16,0.251955,0.000000,1.000000,1.895183
17,0.257168,0.000000,1.000000,2.004047
18,0.243267,0.000000,1.000000,2.114076
19,0.246742,0.000000,1.000000,2.223148
20,0.265856,0.000000,1.000000,2.332766
21,0.262381,0.000000,1.000000,2.442923
22,0.254561,0.000000,1.000000,2.552547
23,0.255430,0.000000,1.000000,2.662857
24,0.509123,0.003475,1.006826,2.782857
25,0.537793,0.005213,1.009693,2.920350
26,0.507385,0.003475,1.006849,3.059870
27,0.506516,0.002606,1.005146,3.203625
28,0.501303,0.001738,1.003466,3.349710
29,0.494353,0.001738,1.003515,3.504088
30,0.502172,0.002606,1.005190,3.649929
31,0.504778,0.005213,1.010327,3.792865
32,0.509991,0.006950,1.013629,3.934453
33,0.535187,0.013901,1.025974,4.070216
34,0.568202,0.028671,1.050459,4.206183
35,0.585578,0.033015,1.056380,4.342171
36,0.589053,0.034752,1.058997,4.479775
37,0.591659,0.035621,1.060206,4.617632
38,0.576890,0.032146,1.055723,4.757154
39,0.574283,0.031277,1.054463,4.900472
40,0.569070,0.016507,1.029008,5.046538
41,0.563858,0.021720,1.038521,5.188919
42,0.563858,0.020851,1.036980,5.333511
43,0.571677,0.026064,1.045593,5.476330
44,0.576021,0.029540,1.051282,5.618068
