Timestep,ViewpointID,X,Y,Z,OrientationX,OrientationY,OrientationZ,OrientationW
0,0,-240.683,-97.716,304.176,0.778247,-0.523977,0.19329,-0.287087
0,0,-131.366,1.24326,377.811,-0.693925,0.700523,-0.118318,0.117204
1,0,-16.8361,39.6296,397.676,-0.199228,0.97847,-0.0528167,0.0107541
2,0,64.4279,8.29279,394.69,0.658236,0.74839,-0.0611748,-0.0538054
3,0,113.207,-33.8092,382.153,0.792928,0.590726,-0.0892319,-0.119775
4,0,131.587,-57.2721,373.37,0.822347,0.538941,-0.100008,-0.152598
5,0,130.388,-50.5935,374.752,0.812025,0.555928,-0.100357,-0.146588
6,0,120.471,-26.0635,380.536,0.768759,0.620226,-0.0979425,-0.121398
7,0,103.745,-2.29621,386.305,0.708742,0.693229,-0.091487,-0.0935343
8,0,87.3268,6.62251,390.295,0.67571,0.728893,-0.0807732,-0.0748797
9,0,72.8875,5.12784,393.27,0.678969,0.728415,-0.0670939,-0.0625394
10,0,62.9198,-4.14765,394.999,0.727707,0.681316,-0.0540395,-0.057719
11,0,61.4665,-22.5879,394.603,0.817269,0.570373,-0.047006,-0.0673534
12,0,57.9332,-47.3984,392.934,0.899667,0.426342,-0.0402463,-0.0849277
13,0,49.8872,-65.3063,391.467,0.942212,0.318702,-0.0330918,-0.097833
14,0,45.5624,-57.5278,393.211,0.940419,0.3273,-0.0302807,-0.0870044
15,0,49.9704,-33.4607,395.453,0.879644,0.46962,-0.0355047,-0.0665038
16,0,56.5724,-14.5079,395.713,0.787947,0.611377,-0.0448733,-0.057833
17,0,58.124,-9.9616,395.629,0.762409,0.64286,-0.0476483,-0.0565092
18,0,55.3474,-16.3073,395.817,0.798723,0.597338,-0.0433093,-0.0579105
19,0,49.9945,-31.9771,395.573,0.87473,0.478866,-0.0357214,-0.0652512
20,0,42.2798,-48.7946,394.755,0.933875,0.348312,-0.028296,-0.0758656
21,0,41.1154,-53.0894,394.324,0.942846,0.322406,-0.0272548,-0.0797043
22,0,46.5165,-41.6169,395.1,0.910098,0.406935,-0.0319447,-0.0714434
23,0,52.3838,-26.4582,395.671,0.849408,0.522585,-0.0385444,-0.06265
24,0,56.522,-18.7826,395.541,0.808708,0.583452,-0.0436823,-0.0605469
25,0,56.023,-21.0908,395.495,0.819973,0.567462,-0.0427018,-0.0617035
26,0,50.0499,-30.3992,395.69,0.869178,0.489021,-0.0359893,-0.0639668
27,0,40.888,-41.7139,395.712,0.923297,0.377046,-0.027678,-0.067777
28,0,36.4841,-51.9804,394.927,0.95052,0.300284,-0.0239896,-0.0759366
29,0,40.6513,-52.2191,394.488,0.942539,0.323621,-0.026956,-0.0785086
29,1,-57.1592,58.6877,-391.521,0.0387694,-0.0953722,0.921461,-0.37458
30,0,63.8659,-9.65077,394.751,0.755603,0.650002,-0.052827,-0.0614094
30,1,28.9632,-1.0397,-398.949,-0.0260891,-0.0251694,0.693851,0.719205
31,0,41.5911,16.6372,397.484,0.55974,0.826769,-0.0464402,-0.031441
31,1,23.9352,-44.7981,-396.762,-0.0617129,-0.0154526,0.242405,0.968087
32,0,-0.0611307,23.2249,399.325,-0.0013155,0.999577,-0.0290435,3.82229e-05
32,1,-16.8662,-4.16981,-399.623,-0.0171045,0.0133907,-0.616295,0.787216
33,0,-17.4907,8.05012,399.536,-0.539244,0.841805,-0.0202723,0.012986
33,1,1.63142,-22.9137,-399.34,-0.0287083,-0.0010207,0.0355172,0.998956
34,0,-12.4772,-4.5016,399.78,0.818232,-0.57465,0.00953061,-0.0135704
34,1,40.6074,-9.27545,-397.825,-0.0407655,-0.0325039,0.622577,0.78082
35,0,-7.06383,-13.9738,399.693,0.972555,-0.231847,0.00453948,-0.0190423
35,1,71.1099,13.1611,-393.408,-0.0580516,-0.0697818,0.765589,0.636894
36,0,-10.4886,-26.4208,398.989,0.981581,-0.187709,0.00667836,-0.0349229
36,1,98.7132,23.6415,-386.907,-0.0792297,-0.100445,0.778695,0.614221
37,0,-25.1063,-33.9061,397.769,0.948323,-0.312881,0.0165465,-0.0501514
37,1,126.118,32.1951,-378.23,-0.101197,-0.130276,0.77891,0.60505
38,0,-44.8793,-31.0156,396.262,0.883517,-0.463386,0.0317477,-0.0605318
38,1,150.533,51.1812,-367.043,-0.118185,-0.165012,0.796067,0.570159
39,0,-60.9501,-24.148,394.591,0.824344,-0.560086,0.0462111,-0.0680143
39,1,167.718,55.2212,-358.917,-0.132842,-0.183595,0.789088,0.570952
40,0,-65.829,-24.4284,393.789,0.817753,-0.568784,0.0503124,-0.0723352
40,1,170.801,37.8205,-359.717,-0.140476,-0.174985,0.759919,0.610057
41,0,-59.4348,-32.0826,394.257,0.855693,-0.5105,0.0434113,-0.0727654
41,1,174.096,14.192,-359.846,-0.151846,-0.164728,0.716582,0.660544
42,0,-48.8957,-35.8088,395.382,0.889288,-0.450994,0.0343644,-0.0677611
42,1,184.058,1.75037,-355.133,-0.166659,-0.168251,0.690251,0.683718
43,0,-39.3371,-33.5867,396.642,0.906203,-0.417849,0.0271304,-0.0588386
43,1,190.257,9.55949,-351.725,-0.169285,-0.178005,0.702428,0.668021
44,0,-36.5757,-28.5855,397.297,0.89731,-0.437558,0.0254759,-0.0522441
44,1,180.629,20.2811,-356.317,-0.155742,-0.174208,0.724873,0.648039
45,0,-39.0536,-22.9158,397.429,0.866385,-0.496149,0.0281728,-0.049196
45,1,157.804,22.6658,-366.857,-0.133302,-0.153816,0.739883,0.641205
46,0,-44.2192,-20.9438,396.996,0.843412,-0.533761,0.0327681,-0.0517779
46,1,132.476,15.943,-377.089,-0.112288,-0.126612,0.737368,0.653949
47,0,-48.6728,-24.8416,396.25,0.850816,-0.520984,0.0357545,-0.0583904
47,1,112.042,9.13405,-383.879,-0.0962126,-0.104375,0.727827,0.670907
48,0,-49.5871,-27.4352,395.965,0.859253,-0.506597,0.0360684,-0.0611766
48,1,106.086,11.9259,-385.491,-0.0897494,-0.100404,0.738766,0.66037
49,0,-50.0448,-26.6126,395.964,0.855015,-0.513715,0.0365818,-0.0608859
49,1,115.156,21.581,-382.457,-0.0945763,-0.113947,0.760997,0.631629
50,0,-50.7187,-24.2952,396.027,0.844068,-0.531586,0.0375553,-0.0596313
50,1,129.377,32.0052,-377.143,-0.104187,-0.133101,0.776115,0.607515
51,0,-48.929,-26.7686,396.093,0.858117,-0.508676,0.0356369,-0.0601182
51,1,143.843,41.1044,-370.971,-0.114709,-0.152079,0.783742,0.591153
52,0,-49.4782,-33.0023,395.554,0.879277,-0.470441,0.0351697,-0.0657338
52,1,155.194,40.12,-366.477,-0.125332,-0.161852,0.773917,0.59929
53,0,-50.0232,-36.0804,395.216,0.887555,-0.454166,0.0352254,-0.0688393
53,1,164.048,31.1447,-363.481,-0.136262,-0.164566,0.752448,0.623035
54,0,-49.4239,-35.9198,395.306,0.888422,-0.452591,0.0347695,-0.0682514
54,1,171.29,22.8509,-360.746,-0.14591,-0.166668,0.733716,0.642335
55,0,-48.2004,-34.0932,395.619,0.885671,-0.458377,0.0340141,-0.0657216
55,1,179.923,19.5866,-356.713,-0.155328,-0.173154,0.723967,0.649433
56,0,-47.3513,-28.9101,396.134,0.869985,-0.488154,0.0340173,-0.0606255
56,1,195.971,27.8676,-347.59,-0.167763,-0.193308,0.730086,0.63361
57,0,-50.2435,-25.8976,395.986,0.851717,-0.519192,0.0368693,-0.0604827
57,1,192.754,36.8751,-348.548,-0.161601,-0.195447,0.745486,0.616389
58,0,-56.6959,-26.8576,395.05,0.842398,-0.533083,0.0420643,-0.0664718
58,1,177.055,36.9245,-356.775,-0.14663,-0.180364,0.754683,0.613532
59,0,-61.2057,-32.0129,393.991,0.852197,-0.515994,0.0448882,-0.0741357
59,1,165.331,31.9073,-362.833,-0.137214,-0.166227,0.753071,0.621631
60,0,-58.8035,-37.3265,393.889,0.872979,-0.479864,0.0420997,-0.0765887
60,1,161.644,25.5599,-364.99,-0.135881,-0.159055,0.743501,0.635173
61,0,-50.7225,-35.1498,395.211,0.883229,-0.462514,0.0358928,-0.0685419
61,1,163.414,21.5907,-364.458,-0.138939,-0.158504,0.735098,0.644363
62,0,-40.0579,-27.6609,397.027,0.883852,-0.463777,0.0283262,-0.0539832
62,1,168.342,19.0026,-362.353,-0.144534,-0.161767,0.727953,0.650404
63,0,-34.0404,-22.2205,397.929,0.878241,-0.475505,0.0242249,-0.0447425
63,1,171.974,15.1275,-360.827,-0.149458,-0.163182,0.719155,0.658673
64,0,-36.9426,-22.0897,397.677,0.868564,-0.492639,0.0265831,-0.0468682
64,1,171.853,10.154,-361.059,-0.151337,-0.160542,0.709731,0.669034
65,0,-45.7874,-24.7362,396.6,0.857042,-0.511105,0.0333905,-0.0559907
65,1,167.766,6.74405,-363.055,-0.148873,-0.154978,0.704319,0.676575
66,0,-52.9988,-26.5125,395.586,0.848352,-0.524195,0.0390454,-0.0631907
66,1,164.668,5.04559,-364.498,-0.14666,-0.151222,0.701744,0.680572
67,0,-55.5885,-26.7562,395.214,0.844134,-0.530523,0.0411579,-0.0654877
67,1,166.663,3.60257,-363.607,-0.149177,-0.152437,0.698261,0.683331
68,0,-54.9788,-27.5665,395.243,0.848412,-0.523691,0.0405013,-0.0656146
68,1,172.981,1.41101,-360.66,-0.156163,-0.157442,0.692308,0.686684
69,0,-52.5116,-28.7162,395.497,0.85775,-0.508564,0.0382627,-0.0645343
69,1,178.215,1.55934,-358.102,-0.161112,-0.162528,0.691346,0.685323
70,0,-51.9832,-26.1417,395.745,0.84899,-0.523352,0.0382684,-0.0620796
70,1,181.357,6.97899,-356.456,-0.161767,-0.168112,0.700689,0.674244
71,0,-53.1756,-23.2502,395.767,0.834627,-0.545991,0.0398198,-0.0608704
71,1,185.818,16.2483,-353.847,-0.162274,-0.177083,0.715679,0.655829
72,0,-52.6263,-24.2812,395.779,0.840077,-0.537581,0.0391529,-0.0611841
72,1,187.145,21.9745,-352.837,-0.161367,-0.181423,0.724841,0.64471
73,0,-50.7609,-30.6922,395.577,0.868627,-0.489856,0.0365238,-0.064765
73,1,180.746,21.0298,-356.214,-0.155574,-0.174725,0.726124,0.646538
74,0,-49.7096,-34.2309,395.42,0.882661,-0.46388,0.0351987,-0.0669754
74,1,168.716,18.1159,-362.225,-0.14522,-0.161648,0.72612,0.652327
75,0,-45.7319,-31.9551,396.09,0.884615,-0.461052,0.0323106,-0.0619939
75,1,160.475,15.8624,-366.055,-0.138307,-0.152652,0.725177,0.657029
76,0,-40.4358,-26.1793,397.089,0.876885,-0.476901,0.0288206,-0.0529929
76,1,156.195,14.7571,-367.948,-0.134716,-0.148044,0.724647,0.65941
77,0,-39.1217,-23.2992,397.4,0.867978,-0.493319,0.0281701,-0.0495644
77,1,150.083,12.0274,-370.581,-0.130069,-0.140909,0.72117,0.665688
78,0,-41.2827,-23.5993,397.163,0.863418,-0.500964,0.0298832,-0.0515041
78,1,140.146,8.70441,-374.544,-0.122163,-0.129986,0.717007,0.673856
79,0,-46.8827,-27.4648,396.292,0.865591,-0.496103,0.0338517,-0.0590637
79,1,130.191,8.77801,-378.118,-0.112944,-0.120815,0.720444,0.673504
80,0,-51.41,-34.1917,395.206,0.87877,-0.470925,0.0365639,-0.06823
80,1,127.411,10.8849,-379.009,-0.109556,-0.119315,0.72686,0.66741
81,0,-52.086,-34.3038,395.108,0.877653,-0.472875,0.0370919,-0.0688422
81,1,129.074,17.3936,-378.203,-0.108646,-0.124269,0.742517,0.64917
82,0,-50.0569,-26.9462,395.94,0.856305,-0.511534,0.0365355,-0.0611603
82,1,132.137,27.7829,-376.521,-0.107958,-0.133018,0.764975,0.620858
83,0,-48.6187,-20.7142,396.494,0.832424,-0.550169,0.0365039,-0.0552315
83,1,138.52,37.3639,-373.385,-0.110917,-0.144799,0.780543,0.597899
84,0,-44.8575,-22.0218,396.866,0.847066,-0.527789,0.0330977,-0.0531196
84,1,147.196,43.9851,-369.322,-0.116979,-0.157046,0.786442,0.585799
85,0,-40.4302,-29.2299,396.877,0.888735,-0.454144,0.0284324,-0.0556406
85,1,155.206,41.9028,-366.272,-0.124842,-0.163017,0.777013,0.595055
86,0,-39.1992,-34.368,396.588,0.908894,-0.411883,0.0269553,-0.0594817
86,1,158.911,32.4801,-365.64,-0.131052,-0.160548,0.757859,0.618627
87,0,-41.5725,-34.4703,396.338,0.902991,-0.424298,0.0287742,-0.0612372
87,1,158.157,21.2655,-366.789,-0.13413,-0.153372,0.736958,0.6445
88,0,-46.3688,-31.8544,396.024,0.882738,-0.464547,0.0328303,-0.0623845
88,1,153.361,11.604,-369.25,-0.133299,-0.143766,0.719066,0.666713
89,0,-49.5195,-23.1131,396.249,0.841509,-0.535887,0.0367788,-0.0577542
