Timestep,CoverageScore
0,0.4126
1,0.4266
2,0.4423
3,0.4301
4,0.4467
5,0.4537
6,0.4537
7,0.4371
8,0.4222
9,0.4056
10,0.3925
11,0.3785
12,0.4082
13,0.4598
14,0.4869
15,0.4948
16,0.4799
17,0.4563
18,0.4476
19,0.4476
20,0.4528
21,0.4781
22,0.4956
23,0.8846
24,0.8942
25,0.9012
26,0.9108
27,0.9003
28,0.8767
29,0.8689
30,0.8400
31,0.8374
32,0.8252
33,0.8103
34,0.7290
35,0.5988
36,0.5533
37,0.5219
38,0.5367
39,0.5769
40,0.5830
41,0.5691
42,0.5376
43,0.5175
44,0.5140
45,0.5420
46,0.5612
47,0.5559
48,0.5490
49,0.5341
50,0.5253
51,0.5122
52,0.5052
53,0.5079
54,0.5079
55,0.5114
56,0.5201
57,0.5219
58,0.5184
59,0.5306
60,0.5227
61,0.5201
62,0.5227
63,0.5140
64,0.5184
65,0.6460
66,0.7439
67,0.8575
68,0.8872
69,0.8977
70,0.9021
71,0.9161
72,0.9240
73,0.9353
74,0.9336
75,0.9143
76,0.9091
77,0.9187
78,0.9240
79,0.9283
80,0.9362
81,0.9379
82,0.9362
83,0.9336
84,0.9362
85,0.9283
86,0.9222
87,0.9187
88,0.9100
89,0.9012
90,0.8899
91,0.8820
92,0.8767
93,0.8802
94,0.8767
95,0.8846
96,0.8890
97,0.8855
98,0.8925
99,0.8934
100,0.8977
101,0.9003
102,0.8960
103,0.8951
104,0.8942
105,0.9047
106,0.9152
107,0.9100
108,0.9135
109,0.9030
110,0.8916
111,0.9283
112,0.9493
113,0.9659
114,0.9738
115,0.9764
116,0.9703
117,0.9720
118,0.9703
119,0.9712
120,0.9720
121,0.9781
122,0.9781
123,0.9790
124,0.9808
125,0.9790
126,0.9729
127,0.9738
128,0.9738
129,0.9729
130,0.9712
131,0.9703
132,0.9720
133,0.9703
134,0.9677
135,0.9703
136,0.9720
137,0.9712
138,0.9694
139,0.9729
140,0.9703
141,0.9729
142,0.9729
143,0.9712
144,0.9790
145,0.9851
146,0.9869
147,0.9860
148,0.9878
149,0.9878
150,0.9878
151,0.9878
152,0.9930
153,0.9921
154,0.9913
155,0.9913
156,0.9878
157,0.9913
158,0.9930
159,0.9886
160,0.9904
161,0.9921
162,0.9913
163,0.9904
164,0.9921
165,0.9956
