model,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s,Gini_m,Gini_s,method_ord,model_ord
bell,Greedy,17.600,1.744,74.824,10.856,0.071,0.047,0.764,0.046,0.403,0.021,0,0
bracket,Greedy,5.800,0.748,8.425,1.065,3.627,2.822,0.722,0.178,0.372,0.081,0,1
cat,Greedy,9.400,1.200,19.737,2.560,0.384,0.210,0.672,0.047,0.366,0.024,0,2
goku,Greedy,12.800,1.661,17.734,2.338,0.103,0.051,0.672,0.047,0.361,0.020,0,3
gorilla,Greedy,6.700,0.458,15.989,1.036,1.424,0.587,0.711,0.078,0.380,0.037,0,4
mug,Greedy,8.800,0.980,25.604,3.006,1.000,0.605,0.811,0.075,0.429,0.034,0,5
bell,Genetic (RKGA),7.700,0.781,20.146,2.050,0.746,0.256,0.483,0.056,0.248,0.029,1,0
bracket,Genetic (RKGA),4.000,0.000,13.740,1.071,10.480,3.186,0.760,0.203,0.375,0.091,1,1
cat,Genetic (RKGA),8.000,0.632,26.422,1.701,0.622,0.204,0.639,0.050,0.342,0.023,1,2
goku,Genetic (RKGA),8.500,0.922,31.247,4.392,0.433,0.209,0.594,0.061,0.319,0.029,1,3
gorilla,Genetic (RKGA),6.000,0.000,18.794,0.979,2.212,0.733,0.631,0.063,0.339,0.031,1,4
mug,Genetic (RKGA),5.800,0.600,17.534,2.477,5.370,2.419,0.556,0.095,0.292,0.047,1,5
bell,SA,8.200,2.135,54.028,42.656,1.167,0.619,0.537,0.079,0.280,0.035,2,0
bracket,SA,10.100,4.592,30.740,33.361,1.574,1.578,0.918,0.153,0.463,0.068,2,1
cat,SA,8.100,0.943,31.421,10.286,0.839,0.580,0.696,0.082,0.370,0.038,2,2
goku,SA,8.300,1.269,27.947,13.324,0.689,0.677,0.726,0.134,0.383,0.059,2,3
gorilla,SA,6.900,0.831,23.569,19.168,1.654,1.200,0.726,0.085,0.380,0.041,2,4
mug,SA,8.200,1.661,46.735,25.320,2.025,1.540,0.786,0.197,0.396,0.080,2,5
bell,Potential Field,5.900,0.539,22.385,9.101,4.489,1.412,0.472,0.088,0.243,0.037,3,0
bracket,Potential Field,4.900,0.300,7.867,4.318,8.185,2.393,0.668,0.185,0.342,0.090,3,1
cat,Potential Field,6.100,0.700,15.937,6.864,3.743,1.462,0.578,0.064,0.313,0.037,3,2
goku,Potential Field,8.400,0.663,32.300,8.400,0.787,0.310,0.663,0.032,0.357,0.014,3,3
gorilla,Potential Field,5.500,0.500,11.323,3.325,5.537,1.811,0.580,0.061,0.308,0.032,3,4
mug,Potential Field,5.300,0.458,16.585,6.582,8.029,1.514,0.530,0.078,0.282,0.038,3,5
