model,is_named,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s
bell,True,Greedy,17.600000,1.743560,74.824347,10.855980,0.070946,0.046803,0.763824,0.045550
bell,True,Genetic (RKGA),7.700000,0.781025,20.145759,2.049922,0.746364,0.255868,0.483278,0.055541
bell,True,SA,8.200000,2.135416,54.028386,42.655960,1.167359,0.618893,0.536610,0.078785
bell,True,Potential Field,5.900000,0.538516,22.385327,9.100635,4.489102,1.411871,0.472119,0.087733
bracket,True,Greedy,5.800000,0.748331,8.424587,1.065153,3.627184,2.821924,0.721798,0.178179
bracket,True,Genetic (RKGA),4.000000,0.000000,13.740431,1.070583,10.479750,3.185667,0.760135,0.203191
bracket,True,SA,10.100000,4.592385,30.740015,33.361225,1.573517,1.577502,0.918429,0.153141
bracket,True,Potential Field,4.900000,0.300000,7.866988,4.317563,8.185206,2.393276,0.667786,0.185488
cat,True,Greedy,9.400000,1.200000,19.736949,2.559791,0.383929,0.209632,0.671706,0.047272
cat,True,Genetic (RKGA),8.000000,0.632456,26.421621,1.700531,0.622432,0.203735,0.638760,0.050352
cat,True,SA,8.100000,0.943398,31.420753,10.285879,0.838696,0.580356,0.695754,0.082230
cat,True,Potential Field,6.100000,0.700000,15.937420,6.863507,3.743260,1.461943,0.577625,0.064339
goku,True,Greedy,12.800000,1.661325,17.734161,2.337599,0.103305,0.051022,0.672221,0.047013
goku,True,Genetic (RKGA),8.500000,0.921954,31.246758,4.392190,0.432689,0.209055,0.593831,0.061353
goku,True,SA,8.300000,1.268858,27.946719,13.324355,0.689151,0.676743,0.726093,0.133578
goku,True,Potential Field,8.400000,0.663325,32.300000,8.400000,0.786652,0.310396,0.663061,0.031647
gorilla,True,Greedy,6.700000,0.458258,15.989347,1.035867,1.424499,0.586747,0.710712,0.077781
gorilla,True,Genetic (RKGA),6.000000,0.000000,18.794100,0.978911,2.212464,0.733467,0.631091,0.062962
gorilla,True,SA,6.900000,0.830662,23.569326,19.168217,1.654080,1.200263,0.726365,0.084761
gorilla,True,Potential Field,5.500000,0.500000,11.322847,3.324630,5.536737,1.810501,0.579876,0.061192
mug,True,Greedy,8.800000,0.979796,25.604370,3.005710,1.000372,0.604807,0.811291,0.075253
mug,True,Genetic (RKGA),5.800000,0.600000,17.534233,2.477110,5.369696,2.418785,0.556279,0.095194
mug,True,SA,8.200000,1.661325,46.735251,25.319992,2.025050,1.539877,0.785628,0.197373
mug,True,Potential Field,5.300000,0.458258,16.584918,6.582358,8.029412,1.514154,0.530308,0.077682
0042,False,Greedy,5.000000,0.000000,9.963441,0.000000,6.468869,0.000000,0.880984,0.000000
0042,False,Genetic (RKGA),7.000000,0.000000,33.280406,0.000000,0.115144,0.000000,0.684918,0.000000
0042,False,SA,8.000000,0.000000,17.564308,0.000000,0.169228,0.000000,0.918094,0.000000
0042,False,Potential Field,4.000000,0.000000,12.699900,0.000000,6.795271,0.000000,0.650141,0.000000
0046,False,Greedy,14.000000,0.000000,7.705218,0.000000,0.127561,0.000000,0.782734,0.000000
0046,False,Genetic (RKGA),5.000000,0.000000,18.134095,0.000000,1.491832,0.000000,1.030916,0.000000
0046,False,SA,7.000000,0.000000,19.556024,0.000000,0.411790,0.000000,1.012689,0.000000
0046,False,Potential Field,4.000000,0.000000,4.896422,0.000000,13.233254,0.000000,0.796318,0.000000
0010,False,Greedy,3.000000,0.000000,5.316355,0.000000,31.395175,0.000000,0.515865,0.000000
0010,False,Genetic (RKGA),3.000000,0.000000,10.703151,0.000000,22.173748,0.000000,0.573105,0.000000
0010,False,SA,7.000000,0.000000,13.814298,0.000000,0.816481,0.000000,0.908114,0.000000
0010,False,Potential Field,3.000000,0.000000,0.158028,0.000000,24.337425,0.000000,0.468343,0.000000
0071,False,Greedy,11.000000,0.000000,14.280296,0.000000,0.077848,0.000000,0.797991,0.000000
0071,False,Genetic (RKGA),4.000000,0.000000,14.537742,0.000000,6.452065,0.000000,0.807188,0.000000
0071,False,SA,9.000000,0.000000,36.717073,0.000000,0.332047,0.000000,0.895460,0.000000
0071,False,Potential Field,5.000000,0.000000,13.296411,0.000000,8.622620,0.000000,0.669265,0.000000
0050,False,Greedy,9.000000,0.000000,20.318088,0.000000,0.450836,0.000000,0.817512,0.000000
0050,False,Genetic (RKGA),3.000000,0.000000,13.901469,0.000000,19.811263,0.000000,0.723070,0.000000
0050,False,SA,6.000000,0.000000,15.539728,0.000000,4.711468,0.000000,0.862896,0.000000
0050,False,Potential Field,3.000000,0.000000,2.361642,0.000000,18.805135,0.000000,0.686227,0.000000
0089,False,Greedy,13.000000,0.000000,32.996130,0.000000,0.102793,0.000000,0.677345,0.000000
0089,False,Genetic (RKGA),8.000000,0.000000,22.698537,0.000000,1.162195,0.000000,0.736977,0.000000
0089,False,SA,14.000000,0.000000,138.376977,0.000000,0.122951,0.000000,1.106388,0.000000
0089,False,Potential Field,7.000000,0.000000,33.312045,0.000000,3.635296,0.000000,0.564721,0.000000
0108,False,Greedy,4.000000,0.000000,8.377899,0.000000,10.810182,0.000000,0.688704,0.000000
0108,False,Genetic (RKGA),3.000000,0.000000,12.378163,0.000000,16.874651,0.000000,0.586612,0.000000
0108,False,SA,10.000000,0.000000,38.554438,0.000000,0.269461,0.000000,0.891698,0.000000
0108,False,Potential Field,4.000000,0.000000,3.213793,0.000000,13.208427,0.000000,0.722171,0.000000
0077,False,Greedy,7.000000,0.000000,11.222212,0.000000,0.182728,0.000000,1.002533,0.000000
0077,False,Genetic (RKGA),4.000000,0.000000,17.257609,0.000000,12.282056,0.000000,0.552150,0.000000
0077,False,SA,7.000000,0.000000,17.043155,0.000000,0.504658,0.000000,1.029457,0.000000
0077,False,Potential Field,5.000000,0.000000,11.282437,0.000000,9.746211,0.000000,0.542568,0.000000
0026,False,Greedy,10.000000,0.000000,20.885912,0.000000,0.232869,0.000000,0.930543,0.000000
0026,False,Genetic (RKGA),4.000000,0.000000,15.922306,0.000000,0.999800,0.000000,0.986936,0.000000
0026,False,SA,14.000000,0.000000,60.075543,0.000000,0.159649,0.000000,0.911832,0.000000
0026,False,Potential Field,4.000000,0.000000,8.034194,0.000000,15.790000,0.000000,0.672553,0.000000
0081,False,Greedy,9.000000,0.000000,14.449389,0.000000,0.103578,0.000000,0.435420,0.000000
0081,False,Genetic (RKGA),3.000000,0.000000,9.498084,0.000000,20.316239,0.000000,0.269864,0.000000
0081,False,SA,8.000000,0.000000,20.355221,0.000000,0.128634,0.000000,0.713555,0.000000
0081,False,Potential Field,3.000000,0.000000,1.917259,0.000000,21.590613,0.000000,0.318745,0.000000
0099,False,Greedy,7.000000,0.000000,10.865483,0.000000,1.004848,0.000000,0.928214,0.000000
0099,False,Genetic (RKGA),4.000000,0.000000,13.264963,0.000000,4.526327,0.000000,0.952359,0.000000
0099,False,SA,6.000000,0.000000,14.251975,0.000000,0.761494,0.000000,0.900886,0.000000
0099,False,Potential Field,5.000000,0.000000,11.160518,0.000000,10.095521,0.000000,0.444636,0.000000
0029,False,Greedy,9.000000,0.000000,9.083643,0.000000,0.478153,0.000000,0.700412,0.000000
0029,False,Genetic (RKGA),3.000000,0.000000,10.045711,0.000000,25.883023,0.000000,0.512739,0.000000
0029,False,SA,10.000000,0.000000,21.347068,0.000000,0.137117,0.000000,0.874884,0.000000
0029,False,Potential Field,3.000000,0.000000,0.760986,0.000000,25.264780,0.000000,0.475705,0.000000
0083,False,Greedy,6.000000,0.000000,11.505292,0.000000,1.886166,0.000000,0.637910,0.000000
0083,False,Genetic (RKGA),6.000000,0.000000,20.782823,0.000000,1.632402,0.000000,0.568549,0.000000
0083,False,SA,8.000000,0.000000,39.855955,0.000000,0.570056,0.000000,0.929172,0.000000
0083,False,Potential Field,5.000000,0.000000,18.511876,0.000000,7.154219,0.000000,0.736661,0.000000
0007,False,Greedy,5.000000,0.000000,2.761324,0.000000,2.170654,0.000000,0.633113,0.000000
0007,False,Genetic (RKGA),3.000000,0.000000,11.699036,0.000000,16.657531,0.000000,0.625383,0.000000
0007,False,SA,8.000000,0.000000,18.977123,0.000000,0.208257,0.000000,1.058693,0.000000
0007,False,Potential Field,3.000000,0.000000,0.150224,0.000000,20.616041,0.000000,0.650938,0.000000
0013,False,Greedy,5.000000,0.000000,5.400964,0.000000,0.254413,0.000000,0.876220,0.000000
0013,False,Genetic (RKGA),5.000000,0.000000,16.005497,0.000000,2.967920,0.000000,0.497025,0.000000
0013,False,SA,7.000000,0.000000,39.791096,0.000000,0.739013,0.000000,0.911897,0.000000
0013,False,Potential Field,4.000000,0.000000,7.096236,0.000000,16.107614,0.000000,0.091806,0.000000
0051,False,Greedy,6.000000,0.000000,10.196134,0.000000,2.232804,0.000000,0.873163,0.000000
0051,False,Genetic (RKGA),3.000000,0.000000,11.546244,0.000000,21.068473,0.000000,0.536769,0.000000
0051,False,SA,14.000000,0.000000,22.985231,0.000000,0.193450,0.000000,0.834821,0.000000
0051,False,Potential Field,6.000000,0.000000,19.744157,0.000000,6.204540,0.000000,0.522493,0.000000
