model,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s,Ovl_m,Ovl_s,_is_key,method_ord,_key_sort
bell,Greedy,17.6000,1.7436,74.8243,10.8560,0.0709,0.0468,0.7638,0.0456,,0.0000,True,0,0
bracket,Greedy,5.8000,0.7483,8.4246,1.0652,3.6272,2.8219,0.7218,0.1782,,0.0000,True,0,0
cat,Greedy,9.4000,1.2000,19.7369,2.5598,0.3839,0.2096,0.6717,0.0473,,0.0000,True,0,0
goku,Greedy,12.8000,1.6613,17.7342,2.3376,0.1033,0.0510,0.6722,0.0470,,0.0000,True,0,0
gorilla,Greedy,6.7000,0.4583,15.9893,1.0359,1.4245,0.5867,0.7107,0.0778,,0.0000,True,0,0
mug,Greedy,8.8000,0.9798,25.6044,3.0057,1.0004,0.6048,0.8113,0.0753,,0.0000,True,0,0
0003,Greedy,8.0000,0.0000,22.0682,0.0000,0.3866,0.0000,0.6907,0.0000,,0.0000,False,0,1
0005,Greedy,11.0000,0.0000,9.9942,0.0000,0.0507,0.0000,0.7205,0.0000,,0.0000,False,0,1
0006,Greedy,6.0000,0.0000,9.5152,0.0000,2.0616,0.0000,0.8977,0.0000,,0.0000,False,0,1
0007,Greedy,5.0000,0.0000,2.7613,0.0000,2.1707,0.0000,0.6331,0.0000,,0.0000,False,0,1
0008,Greedy,3.0000,0.0000,15.3539,0.0000,21.7465,0.0000,0.5981,0.0000,,0.0000,False,0,1
0009,Greedy,10.0000,0.0000,9.3845,0.0000,0.1131,0.0000,0.8288,0.0000,,0.0000,False,0,1
0010,Greedy,3.0000,0.0000,5.3164,0.0000,31.3952,0.0000,0.5159,0.0000,,0.0000,False,0,1
0012,Greedy,9.0000,0.0000,10.5975,0.0000,0.1832,0.0000,0.7784,0.0000,,0.0000,False,0,1
0013,Greedy,5.0000,0.0000,5.4010,0.0000,0.2544,0.0000,0.8762,0.0000,,0.0000,False,0,1
0015,Greedy,4.0000,0.0000,7.2616,0.0000,13.1791,0.0000,0.7178,0.0000,,0.0000,False,0,1
0016,Greedy,7.0000,0.0000,12.1387,0.0000,0.3374,0.0000,0.7175,0.0000,,0.0000,False,0,1
0017,Greedy,5.0000,0.0000,4.8119,0.0000,2.0000,0.0000,0.7121,0.0000,,0.0000,False,0,1
0021,Greedy,4.0000,0.0000,6.8378,0.0000,3.7037,0.0000,0.7047,0.0000,,0.0000,False,0,1
0022,Greedy,5.0000,0.0000,7.3493,0.0000,5.2817,0.0000,0.6336,0.0000,,0.0000,False,0,1
0026,Greedy,10.0000,0.0000,20.8859,0.0000,0.2329,0.0000,0.9305,0.0000,,0.0000,False,0,1
0029,Greedy,9.0000,0.0000,9.0836,0.0000,0.4782,0.0000,0.7004,0.0000,,0.0000,False,0,1
0030,Greedy,5.0000,0.0000,5.3404,0.0000,0.1520,0.0000,0.8807,0.0000,,0.0000,False,0,1
0031,Greedy,7.0000,0.0000,5.7702,0.0000,0.3349,0.0000,0.5872,0.0000,,0.0000,False,0,1
