model,method,n_seeds,samples_points,samples_viewpoints,samples_pairs,num_viewpoints_mean,num_viewpoints_std,coverage_auc_mean,coverage_auc_std,solution_time_mean,solution_time_std,exclusive_area_mean,exclusive_area_std,overlap_mean,overlap_std,cv_overlap_mean,cv_overlap_std,overlap_entropy_mean,overlap_entropy_std,gini_overlap_mean,gini_overlap_std
0003,Genetic (RKGA),1,5390,4,12,4.000000,0.000000,10.478908,0.000000,14.609751,0.000000,8.557514,0.000000,0.219473,0.000000,1.169286,0.000000,0.384240,0.000000,0.564888,0.000000
0005,Genetic (RKGA),1,5768,2,2,2.000000,0.000000,6.575977,0.000000,8.851976,0.000000,48.396325,0.000000,0.031738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0006,Genetic (RKGA),1,5110,6,30,6.000000,0.000000,17.121755,0.000000,23.735338,0.000000,0.381605,0.000000,0.356355,0.000000,0.734886,0.000000,0.824254,0.000000,0.372737,0.000000
0007,Genetic (RKGA),1,5473,3,6,3.000000,0.000000,8.659530,0.000000,11.699036,0.000000,16.657531,0.000000,0.277119,0.000000,0.625383,0.000000,0.528558,0.000000,0.312691,0.000000
0009,Genetic (RKGA),1,5328,3,6,3.000000,0.000000,8.841431,0.000000,11.952658,0.000000,16.597848,0.000000,0.254155,0.000000,0.547280,0.000000,0.694087,0.000000,0.273640,0.000000
0010,Genetic (RKGA),1,5272,3,6,3.000000,0.000000,7.763908,0.000000,10.703151,0.000000,22.173748,0.000000,0.185896,0.000000,0.573105,0.000000,0.628896,0.000000,0.286552,0.000000
0012,Genetic (RKGA),1,5549,3,6,3.000000,0.000000,8.924625,0.000000,12.635636,0.000000,20.237881,0.000000,0.176783,0.000000,0.292677,0.000000,0.923573,0.000000,0.146338,0.000000
0013,Genetic (RKGA),1,5081,5,20,5.000000,0.000000,11.125356,0.000000,16.005497,0.000000,2.967920,0.000000,0.212719,0.000000,0.497025,0.000000,0.869058,0.000000,0.267920,0.000000
0015,Genetic (RKGA),1,5000,4,12,4.000000,0.000000,9.448985,0.000000,13.352638,0.000000,5.795000,0.000000,0.255547,0.000000,1.044651,0.000000,0.523694,0.000000,0.510741,0.000000
0016,Genetic (RKGA),1,5244,7,42,7.000000,0.000000,14.728133,0.000000,21.799590,0.000000,0.814536,0.000000,0.245490,0.000000,0.956307,0.000000,0.759098,0.000000,0.454012,0.000000
0017,Genetic (RKGA),1,4820,8,56,8.000000,0.000000,17.657393,0.000000,24.894761,0.000000,0.601660,0.000000,0.299950,0.000000,0.587389,0.000000,0.906291,0.000000,0.316686,0.000000
