model,solution_time_mean,solution_time_std,num_viewpoints_mean,num_viewpoints_std,samples_points,samples_viewpoints,samples_pairs,n_seeds,overlap_mean,cv_overlap_mean,exclusive_area_mean
goku,87.678428,16.358941,8.400000,0.663325,48163,84,626,10,0.248310,0.663061,0.786652
0093,49.518418,0.000000,8.000000,0.000000,4863,8,56,1,0.266758,0.987542,1.344335
0082,41.276938,0.000000,8.000000,0.000000,5166,8,56,1,0.242926,0.627306,1.280004
0017,39.746767,0.000000,8.000000,0.000000,4759,8,56,1,0.222741,0.629030,3.438222
0089,33.312045,0.000000,7.000000,0.000000,4865,7,42,1,0.225435,0.564721,3.635296
cat,31.874839,13.727013,6.100000,0.700000,49765,61,316,10,0.175157,0.577625,3.743260
0084,30.696008,0.000000,6.000000,0.000000,5490,6,30,1,0.230615,0.777422,2.440801
0066,29.850668,0.000000,6.000000,0.000000,5436,6,30,1,0.281523,0.913369,1.729213
0016,24.940674,0.000000,6.000000,0.000000,5218,6,30,1,0.388345,0.464457,7.116392
0006,23.373713,0.000000,6.000000,0.000000,5094,6,30,1,0.302587,0.670960,3.520482
0106,22.925745,0.000000,6.000000,0.000000,5360,6,30,1,0.213697,0.684933,8.100124
gorilla,22.645695,6.649260,5.500000,0.500000,48817,55,250,10,0.164557,0.579876,5.536737
