x,y,z,qx,qy,qz,qw
7.71758,331.913,223.101,0.0102582,0.88248,-0.470206,-0.00546583
-88.3163,-343.598,184.772,-0.848209,0.107266,-0.0650756,0.514587
66.3513,392.032,-43.6878,-0.0558809,-0.665032,0.742106,0.0623573
185.161,-319.753,153.21,-0.803098,-0.215746,0.144099,0.536398
-126.215,-340.931,-166.84,-0.5314,0.0952068,-0.148447,0.828561
-82.3498,350.355,174.557,-0.0976042,0.841825,-0.52732,0.0611393
-217.79,23.7808,-334.667,-0.19079,0.212756,-0.713448,0.639786
-51.1501,-381.255,-109.674,-0.601079,0.0401413,-0.0531856,0.796407
253.702,124.44,-283.108,-0.2022,-0.324392,0.784192,0.488802
-135.63,341.127,-158.861,0.103264,-0.539222,0.820892,-0.157205
5.33554,-353.099,187.863,-0.857197,-0.00647601,0.00389025,0.514933
-164.443,361.73,45.9345,-0.158073,0.729679,-0.650186,0.140853
