step,N,grid_size,k_attr,k_rep,sigma_rep,amp_rep,eta,min_spacing,mean_spacing,max_spacing,mean_force_norm,max_force_norm,mean_potential,var_potential,mean_need,max_need,lambda_max_real,lambda_min_real,spectral_radius_I_plus_etaJ,continuous_stable,discrete_stable,num_eig_pos_real
0,5,100.0,10.0,0.25,20.0,300.0,0.02,21.392592432868188,42.98414920805463,63.07194472096763,306.8830237177695,518.8210401770086,9.313505840888324,75.53618447603866,0.5025659257982167,1.0,9.020501871657714,-71.09532320436537,1.1804100374331543,False,False,1
1,5,100.0,10.0,0.25,20.0,300.0,0.02,23.567519743164276,44.35347234485261,65.05699351111873,209.80674345518082,322.8270097785874,7.971744831714482,69.93074588213672,0.4350821664915097,1.0,7.616893069796168,-76.91923823413258,1.1523378613959234,False,False,1
2,5,100.0,10.0,0.25,20.0,300.0,0.02,27.77125992210921,45.40721318779866,66.0687444724355,168.9911036058874,201.31374952423965,7.549216679735862,65.15041703874078,0.4155277122519068,1.0,2.9081044370375175,-74.22718962925632,1.0581620887407504,False,False,1
3,5,100.0,10.0,0.25,20.0,300.0,0.02,32.303307823786305,45.73746882812155,61.07594701634612,128.1591499074313,173.32611808055603,7.178271479932832,62.16411300779686,0.39746383710837563,0.9999996423721313,-2.2308758997638,-72.25583077673437,0.955382482004724,True,True,0
4,5,100.0,10.0,0.25,20.0,300.0,0.02,35.56012467752846,45.96542234935062,58.176393379699206,76.76596975172473,115.45630983177558,6.849835280507115,59.812504544326416,0.3805683727155043,0.999997079372406,-3.7779680264254782,-71.25103245996567,0.9244406394714905,True,True,0
5,5,100.0,10.0,0.25,20.0,300.0,0.02,36.7797562964918,46.087087072291936,57.08814235953612,38.582987612576076,62.30365393228815,6.696784726782146,58.98415338301643,0.3724923946073435,0.9999944567680359,9332.271030967042,-70.15754017125255,187.64542061934085,False,False,1
6,5,100.0,10.0,0.25,20.0,300.0,0.02,37.06997018863015,46.14717105781722,56.493856205299515,19.350408829619205,31.51056743127563,6.681856424016389,59.07643088362479,0.37178135761875836,0.9999906420707703,-4.874063888336632,-69.67319484517095,0.9025187222332673,True,True,0
7,5,100.0,10.0,0.25,20.0,300.0,0.02,36.85060450730338,46.19366555387039,56.03293403827312,11.911703062959221,19.75112157734575,6.69294008667595,59.10961801829637,0.37244054259949594,0.9999876618385315,-5.032561354310386,-69.47696894940427,0.8993487729137923,True,True,0
8,5,100.0,10.0,0.25,20.0,300.0,0.02,36.51941265609111,46.20792980623397,55.70163763255275,9.37353506371737,16.199705019396,6.696429432358852,59.1149968805501,0.37265142148016633,0.9999860525131226,-5.2097454951205435,-69.16136282134684,0.8958050900975891,True,True,0
9,5,100.0,10.0,0.25,20.0,300.0,0.02,36.24351550332548,46.22768491115623,55.44759940394654,7.84249230077148,11.618337858035694,6.703476051404736,59.126021446934786,0.37305740186262976,0.9999838471412659,-5.313610945344801,-68.86406127907568,0.8937277810931039,True,True,0
10,5,100.0,10.0,0.25,20.0,300.0,0.02,36.16192588735726,46.23849159896944,55.215830699103606,4.962879871826763,7.291234606184057,6.7102203915012755,59.13539637725518,0.37344201828606566,0.9999810457229614,-5.357497329014348,-68.72316089134901,0.892850053419713,True,True,0
11,5,100.0,10.0,0.25,20.0,300.0,0.02,36.164146074855,46.23892615170122,55.11834650020662,3.6896122724205016,5.375702702152974,6.7107666187382815,59.12304586813351,0.37347410276469456,0.9999794960021973,-5.375718445722048,-68.62113169396495,0.892485631085559,True,True,0
12,5,100.0,10.0,0.25,20.0,300.0,0.02,36.197902475575574,46.23727070464529,55.15325799420198,2.9955204540674494,4.479527994942331,6.710373386866202,59.110095742530525,0.3734525505754917,0.999978244304657,-5.3822466789068875,-68.54719180407194,0.8923550664218622,True,True,0
13,5,100.0,10.0,0.25,20.0,300.0,0.02,36.24170307517457,46.23398097488615,55.17433620261655,2.5341137342568087,3.7478718120785106,6.709160100929176,59.095259628379914,0.373384480580046,0.9999774098396301,-5.386846396424509,-68.48579523242942,0.8922630720715098,True,True,0
14,5,100.0,10.0,0.25,20.0,300.0,0.02,36.28612584262288,46.23054629956725,55.19146201002441,2.1630554234126658,3.2118141909654074,6.707872487416927,59.08139772771837,0.37331212669366426,0.9999766945838928,4456.898613978112,-66.25538899407287,90.13797227956223,False,False,1
15,5,100.0,10.0,0.25,20.0,300.0,0.02,36.21073047295094,46.24644174331302,55.361363721712586,3.4592485674127724,9.791200657028623,6.706613924832755,59.068645172508226,0.37324135830596666,0.9999761581420898,-5.439688369348096,-68.43528129609925,0.8912062326130381,True,True,0
16,5,100.0,10.0,0.25,20.0,300.0,0.02,36.19250425512421,46.238892812890825,55.41127574106739,3.17553769874279,5.527444798865446,6.70890340670546,59.081646625437216,0.37337179616434185,0.9999746084213257,-5.448255130275369,-68.31010834655639,0.8910348973944926,True,True,0
17,5,100.0,10.0,0.25,20.0,300.0,0.02,36.20141330821135,46.21692544008094,55.47002319526581,4.338633168143344,11.223583418019217,6.7084368713851275,59.06794467676453,0.3733466686000188,0.9999740123748779,-5.471443057630417,-68.30354915267054,0.8905711388473917,True,True,0
18,5,100.0,10.0,0.25,20.0,300.0,0.02,36.222003781034395,46.214593280882156,55.597287624605144,4.161095818418313,6.709821959283524,6.7079585958492896,59.045783836814834,0.37332263350624223,0.9999733567237854,-5.496738398475632,-68.20425901127372,0.8900652320304874,True,True,0
19,5,100.0,10.0,0.25,20.0,300.0,0.02,36.54738635019071,46.21311422799045,55.57913410098982,7.961323980985503,20.50711508094902,6.70711881894863,59.03358746856146,0.37327719100727774,0.9999721646308899,-5.485790563913497,-68.07537531026864,0.8902841887217301,True,True,0
20,5,100.0,10.0,0.25,20.0,300.0,0.02,36.713504989668564,46.19558618461908,55.563495696509456,6.305507431899337,10.493032626099339,6.705810741757417,59.03202482300674,0.3732082640362348,0.9999712705612183,-5.474564428704706,-68.26133997402589,0.8905087114259058,True,True,0
21,5,100.0,10.0,0.25,20.0,300.0,0.02,36.83599468914478,46.18728721484925,55.589416054717056,4.922032407451169,8.255290338606388,6.701397400386415,58.98358991957311,0.37296251485172954,0.9999712109565735,-5.453898598777042,-68.20963823775905,0.8909220280244592,True,True,0
22,5,100.0,10.0,0.25,20.0,300.0,0.02,36.931907404640555,46.174644914542895,55.615395150051306,4.82698659456937,10.667130688699864,6.698988484443944,58.95916432067603,0.37282911722212453,0.9999704360961914,-5.449602069229757,-68.19814763947838,0.8910079586154048,True,True,0
23,5,100.0,10.0,0.25,20.0,300.0,0.02,37.03159657281233,46.164352375963475,55.63187383315407,4.234680047633889,7.683397029418055,6.694010592061938,58.921205561032124,0.37255100481972625,0.9999697804450989,-5.449453860832678,-68.1443073760353,0.8910109227833465,True,True,0
24,5,100.0,10.0,0.25,20.0,300.0,0.02,37.11572006947676,46.15203878329235,55.611436626335795,4.41465131444517,6.897532671528552,6.691447830761307,58.89855898098815,0.3724086549925871,0.9999687671661377,-5.441470196055113,-67.99372356001967,0.8911705960788977,True,True,0
