step,N,grid_size,k_attr,k_rep,sigma_rep,amp_rep,eta,min_spacing,mean_spacing,max_spacing,mean_force_norm,max_force_norm,mean_potential,var_potential,mean_need,max_need,lambda_max_real,lambda_min_real,spectral_radius_I_plus_etaJ,continuous_stable,discrete_stable,num_eig_pos_real
0,8,100.0,11.5,0.25,20.0,300.0,0.02,13.994722350043928,41.36459918432091,63.015220617934204,205.00524158010677,422.7752135153488,9.587268102685874,157.5169774457586,0.3286691244771643,0.9999979734420776,15.294358072381703,-72.77055767412389,1.3058871614476342,False,False,3
1,8,100.0,11.5,0.25,20.0,300.0,0.02,18.257059964177476,42.20723627326057,63.99656921413183,136.91456285961917,213.37204800054758,7.992340826738313,131.52930270664336,0.27571416127799253,0.99996018409729,9.548078605660331,-74.40429475697205,1.1909615721132067,False,False,2
2,8,100.0,11.5,0.25,20.0,300.0,0.02,20.324522904516257,42.5019462617228,66.10518450126378,111.15963758845007,192.3066035838632,6.719425674288653,112.29408571170671,0.23224648885415358,0.999489963054657,6.244305660630069,-77.08922528858065,1.1248861132126013,False,False,2
3,8,100.0,11.5,0.25,20.0,300.0,0.02,20.28063908584002,42.483735209110634,67.451723709276,89.27505874638527,154.88343864404635,5.6112918276523365,95.17292845303001,0.19427891231653893,0.9992305040359497,5.0124680418170575,-77.53996204545041,1.100249360836341,False,False,2
4,8,100.0,11.5,0.25,20.0,300.0,0.02,21.158528492392385,42.43405134386477,66.88977608758638,71.69255207762387,129.06312899269753,4.80029603340578,81.7161721841322,0.1664473983928176,0.9993659257888794,4.381862444908206,-75.92624739331525,1.087637248898164,False,False,2
5,8,100.0,11.5,0.25,20.0,300.0,0.02,22.47758171289201,42.379501456576584,66.00365395159186,58.58111029496297,103.86659286378314,4.266039954976886,72.8661399014976,0.14813353233107734,0.9993706941604614,3.4051129859856055,-72.27261388380285,1.068102259719712,False,False,2
6,8,100.0,11.5,0.25,20.0,300.0,0.02,23.719391733002265,42.34220485422083,64.99290068928384,48.27964524280456,77.8692945159321,3.960338341939398,67.9101111561975,0.13768167411024623,0.9993388652801514,2.7692872200470675,-72.65350934663286,1.0553857444009414,False,False,2
7,8,100.0,11.5,0.25,20.0,300.0,0.02,23.966444776458623,42.31921741998146,64.12221914437409,38.53848565525907,63.954205511634264,3.82602766320249,65.23373921487101,0.13312004433058144,0.999183714389801,2.290372686368054,-76.08812607228487,1.0458074537273612,False,False,2
8,8,100.0,11.5,0.25,20.0,300.0,0.02,22.977300306663746,42.3031667114019,64.4620495335427,31.630466562769044,48.79268356320033,3.7551479078128773,63.51969893029507,0.13072034011799727,0.9988614320755005,1.9969271995377202,-76.61026177442565,1.0399385439907545,False,False,2
9,8,100.0,11.5,0.25,20.0,300.0,0.02,22.50127084276939,42.29754065644625,64.87975713472461,26.640709912408077,34.01221262673697,3.6861134957385673,62.27787344702991,0.12836240568644583,0.998191237449646,1.6708314449485693,-76.49789563314798,1.0334166288989715,False,False,2
10,8,100.0,11.5,0.25,20.0,300.0,0.02,22.361093574276044,42.28672547758396,65.19235189782556,23.73821518910967,34.623684337889365,3.615229486080447,61.25198213199007,0.12592605904098833,0.9973740577697754,1.590105308938592,-74.6069443449479,1.0318021061787719,False,False,1
11,8,100.0,11.5,0.25,20.0,300.0,0.02,22.4299894154459,42.28135512134126,65.52997416285939,23.455590473566073,32.317564445187834,3.544027522821353,60.15557805506861,0.1234719532710123,0.9963535070419312,1.813126284285454,-69.78128440780397,1.036262525685709,False,False,1
12,8,100.0,11.5,0.25,20.0,300.0,0.02,22.71312093503438,42.27275794110399,65.73294835665796,22.365378284678947,33.84580020869323,3.4665745215205863,58.84040126813337,0.12079892072831458,0.9963639378547668,1.9127149061453812,-65.7012161533663,1.0382542981229077,False,False,1
13,8,100.0,11.5,0.25,20.0,300.0,0.02,23.17825857782327,42.272599034146864,65.93454217078703,20.634980959328402,33.886448927771134,3.3839067740016398,57.30584133616412,0.11793839814150078,0.9964743852615356,2.0779827658373398,-63.05152651137891,1.0415596553167468,False,False,1
14,8,100.0,11.5,0.25,20.0,300.0,0.02,23.677014639746105,42.26504689029371,66.23165079894869,21.124793007563525,29.799168048249662,3.292389175721601,55.52927303487876,0.11476472234695059,0.9962177872657776,2.1395411455371236,-61.86166311917026,1.0427908229107425,False,False,1
15,8,100.0,11.5,0.25,20.0,300.0,0.02,24.26210534986203,42.275838996960104,66.50680467421189,19.252431446753732,28.021179897835662,3.2026668363561095,53.74616030986266,0.1116533354601065,0.9960485100746155,2.0481807822728486,-62.39611604120433,1.040963615645457,False,False,1
16,8,100.0,11.5,0.25,20.0,300.0,0.02,24.855407772005456,42.27626461697314,66.61299212931117,17.704276043107328,26.271271089478525,3.117166071440681,52.04308202981659,0.10868217634722314,0.9958701729774475,1.7407378016200432,-62.73370648632235,1.0348147560324008,False,False,1
17,8,100.0,11.5,0.25,20.0,300.0,0.02,25.380019218822575,42.28421401099846,66.72339691041496,16.384573264904965,23.39630208740181,3.0313557748817948,50.380242369694066,0.10569821827210307,0.9955262541770935,1.490319333164937,-62.740930164882904,1.0298063866632987,False,False,1
