E_attr,E_rep,E_tot,N,dE_dt,force_mean,lambda_max_real,need_mean,pot_var,r_mean,r_min,rho_I_plus_etaJ,spacing_ratio,speed_mean,step
6.183426041346823331e+05,2.024252597047085942e+02,6.183932104496085085e+05,2.000000000000000000e+00,0.000000000000000000e+00,1.941518042781778490e+02,1.712590868816451020e-02,8.308675885200500488e-01,7.472365821173254652e+00,1.774061428738666280e+01,1.774061428738666280e+01,1.000342518173762407e+00,8.870307143693331176e-01,1.941518042781778490e+02,0.000000000000000000e+00
5.988093916845326312e+05,1.092617212520060974e+02,5.988367071148456307e+05,2.000000000000000000e+00,-1.955650333476287778e+04,2.671933829432609855e+02,nan,8.030943274497985840e-01,8.320553322467514334e+00,2.842585243172282361e+01,2.842585243172282361e+01,nan,1.421292621586141225e+00,2.671933829432609855e+02,1.000000000000000000e+00
5.725536738236532547e+05,3.275652935864064830e+01,5.725618629559929250e+05,2.000000000000000000e+00,-2.627484415885270573e+04,3.416631097218784134e+02,nan,7.689104676246643066e-01,9.188067002677852813e+00,4.209209106439791270e+01,4.209209106439791270e+01,nan,2.104604553219895813e+00,3.416631097218784134e+02,2.000000000000000000e+00
5.518131022225517081e+05,1.377765806204858023e+01,5.518165466370672220e+05,2.000000000000000000e+00,-2.074531631892570294e+04,1.888147697513385879e+02,nan,7.466055750846862793e-01,9.406946788925738545e+00,4.964461038598243903e+01,4.964461038598243903e+01,nan,2.482230519299121863e+00,1.888147697513385879e+02,3.000000000000000000e+00
5.504456799446481746e+05,1.337189020239617854e+01,5.504490229171987157e+05,2.000000000000000000e+00,-1.367523719868506305e+03,6.014725496735344734e+00,nan,7.466054558753967285e-01,9.331960097716397229e+00,4.988488923223481919e+01,4.988488923223481919e+01,nan,2.494244461611740959e+00,6.014725496735344734e+00,4.000000000000000000e+00
5.504446895139848348e+05,1.345933589340058312e+01,5.504480543479581829e+05,2.000000000000000000e+00,-9.685692405328154564e-01,1.312254883542484984e+00,nan,7.466054558753967285e-01,9.331911851954245662e+00,4.983259568538419870e+01,4.983259568538419870e+01,nan,2.491629784269210113e+00,1.312254883542484984e+00,5.000000000000000000e+00
5.504446489051452372e+05,1.344027858913300655e+01,5.504480089747925522e+05,2.000000000000000000e+00,-4.537316563073545694e-02,2.874158065881661228e-01,nan,7.466055750846862793e-01,9.331912089551357425e+00,4.984396783096559602e+01,4.984396783096559602e+01,nan,2.492198391548279712e+00,2.874158065881661228e-01,6.000000000000000000e+00
5.504446455881262664e+05,1.344442166981174402e+01,5.504480066935437499e+05,2.000000000000000000e+00,-2.281248802319169044e-03,6.379334178988399495e-02,nan,7.466054558753967285e-01,9.331911548388047706e+00,4.984149436265376210e+01,4.984149436265376210e+01,nan,2.492074718132688105e+00,6.379334178988399495e-02,7.000000000000000000e+00
5.504446457078900421e+05,1.344352045818617469e+01,5.504480065880046459e+05,2.000000000000000000e+00,-1.055391039699316025e-04,1.465787463617374865e-02,nan,7.466055750846862793e-01,9.331911642324275391e+00,4.984203234225547874e+01,4.984203234225547874e+01,nan,2.492101617112774115e+00,1.465787463617374865e-02,8.000000000000000000e+00
5.504446455445252359e+05,1.344371647572353545e+01,5.504480064736441709e+05,2.000000000000000000e+00,-1.143604749813675880e-04,3.640242662658367545e-03,nan,7.466054558753967285e-01,9.331911620928812212e+00,4.984191532672424785e+01,4.984191532672424785e+01,nan,2.492095766336212215e+00,3.640242662658367545e-03,9.000000000000000000e+00
